%	Date:	2016-12-09	Time:	15:18:18
%	Sampling frequency		[Hz]:	50000
%	Generator amplitude		[V]:	1.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[dB]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.8738E+2	-1.2673E+0	6.6677E+0	-9.0596E+1	-9.2457E+1	-9.7821E+1	-1.0181E+2	-1.0139E+2
2.0092E+2	-1.2097E+0	6.6594E+0	-8.9056E+1	-9.2787E+1	-9.4383E+1	-9.7199E+1	-9.7924E+1
2.1544E+2	-1.1516E+0	6.6369E+0	-9.0979E+1	-1.0111E+2	-9.3061E+1	-1.0720E+2	-9.6832E+1
2.3101E+2	-1.0937E+0	6.6004E+0	-8.8359E+1	-9.0902E+1	-9.3246E+1	-1.0314E+2	-9.9042E+1
2.4771E+2	-1.0358E+0	6.5486E+0	-8.9799E+1	-9.4764E+1	-9.2498E+1	-1.0261E+2	-1.0017E+2
2.6561E+2	-9.7834E-1	6.4821E+0	-9.0345E+1	-9.5059E+1	-9.4660E+1	-9.8840E+1	-9.8570E+1
2.8480E+2	-9.2153E-1	6.4007E+0	-9.1639E+1	-9.8895E+1	-9.3259E+1	-1.0183E+2	-1.0723E+2
3.0539E+2	-8.6546E-1	6.3053E+0	-8.8963E+1	-9.4531E+1	-9.2456E+1	-9.6703E+1	-9.8675E+1
3.2745E+2	-8.1051E-1	6.1929E+0	-9.1889E+1	-9.4537E+1	-9.5541E+1	-1.0949E+2	-1.1300E+2
3.5112E+2	-7.5684E-1	6.0684E+0	-9.1261E+1	-9.5858E+1	-9.4039E+1	-1.0063E+2	-1.1129E+2
3.7649E+2	-7.0477E-1	5.9286E+0	-9.3883E+1	-1.0527E+2	-9.7970E+1	-9.6669E+1	-1.1364E+2
4.0370E+2	-6.5432E-1	5.7776E+0	-9.0761E+1	-1.0175E+2	-9.3237E+1	-1.1398E+2	-9.5319E+1
4.3288E+2	-6.0583E-1	5.6135E+0	-9.1509E+1	-1.0191E+2	-9.2549E+1	-1.0341E+2	-1.0393E+2
4.6416E+2	-5.5968E-1	5.4397E+0	-8.9815E+1	-1.0386E+2	-9.2080E+1	-9.6729E+1	-9.7682E+1
4.9770E+2	-5.1575E-1	5.2562E+0	-9.0575E+1	-9.8339E+1	-9.3151E+1	-1.0115E+2	-9.7733E+1
5.3367E+2	-4.7405E-1	5.0646E+0	-8.9563E+1	-9.5887E+1	-9.2403E+1	-1.0495E+2	-9.6181E+1
