%	Date:	2016-12-09	Time:	15:19:04
%	Sampling frequency		[Hz]:	50000
%	Generator amplitude		[V]:	1.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[dB]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.3219E+2	-2.7457E+0	1.3443E+1	-8.9113E+1	-9.4870E+1	-9.1738E+1	-1.0744E+2	-9.6724E+1
1.4175E+2	-2.6325E+0	1.3399E+1	-8.5347E+1	-9.0432E+1	-8.9324E+1	-9.3695E+1	-9.3782E+1
1.5199E+2	-2.5203E+0	1.3331E+1	-8.5587E+1	-9.1005E+1	-8.8890E+1	-9.5136E+1	-9.4306E+1
1.6298E+2	-2.4087E+0	1.3243E+1	-8.9207E+1	-9.2985E+1	-9.1694E+1	-1.1709E+2	-1.0734E+2
1.7475E+2	-2.2981E+0	1.3135E+1	-8.4105E+1	-8.5280E+1	-9.1369E+1	-1.0636E+2	-9.7732E+1
1.8738E+2	-2.1891E+0	1.3007E+1	-8.8515E+1	-9.5353E+1	-9.2000E+1	-1.0419E+2	-9.3497E+1
2.0092E+2	-2.0814E+0	1.2858E+1	-8.7136E+1	-1.0525E+2	-8.8093E+1	-1.0294E+2	-9.5204E+1
2.1544E+2	-1.9754E+0	1.2691E+1	-9.2429E+1	-9.8099E+1	-9.5700E+1	-9.9523E+1	-1.0444E+2
2.3101E+2	-1.8713E+0	1.2505E+1	-8.5175E+1	-8.8314E+1	-9.0795E+1	-9.2932E+1	-9.6551E+1
2.4771E+2	-1.7689E+0	1.2302E+1	-8.7578E+1	-9.0273E+1	-9.2215E+1	-1.0065E+2	-9.9176E+1
2.6561E+2	-1.6686E+0	1.2080E+1	-8.7651E+1	-9.2298E+1	-9.0938E+1	-1.0060E+2	-9.6277E+1
2.8480E+2	-1.5707E+0	1.1842E+1	-9.1728E+1	-9.7149E+1	-9.6512E+1	-9.7092E+1	-1.0219E+2
3.0539E+2	-1.4750E+0	1.1588E+1	-9.0667E+1	-9.2394E+1	-9.6355E+1	-1.0475E+2	-1.0782E+2
3.2745E+2	-1.3819E+0	1.1315E+1	-8.9500E+1	-9.6692E+1	-9.0535E+1	-1.0781E+2	-1.1147E+2
3.5112E+2	-1.2914E+0	1.1028E+1	-9.1326E+1	-9.5442E+1	-9.5318E+1	-9.8121E+1	-1.1494E+2
3.7649E+2	-1.2040E+0	1.0724E+1	-9.1900E+1	-1.0385E+2	-9.3192E+1	-9.9808E+1	-1.0689E+2
4.0370E+2	-1.1199E+0	1.0406E+1	-9.1230E+1	-9.8755E+1	-9.5559E+1	-9.5985E+1	-1.0046E+2
4.3288E+2	-1.0390E+0	1.0074E+1	-8.8085E+1	-1.0314E+2	-8.9120E+1	-1.0484E+2	-9.6051E+1
4.6416E+2	-9.6211E-1	9.7286E+0	-8.7383E+1	-9.3278E+1	-8.9502E+1	-9.9390E+1	-9.9210E+1
4.9770E+2	-8.8907E-1	9.3733E+0	-9.1675E+1	-1.0303E+2	-9.2913E+1	-1.1009E+2	-9.9622E+1
5.3367E+2	-8.2026E-1	9.0092E+0	-8.9278E+1	-9.5310E+1	-9.3127E+1	-1.0772E+2	-9.4172E+1
5.7224E+2	-7.5540E-1	8.6390E+0	-9.0013E+1	-9.6579E+1	-9.3036E+1	-9.6479E+1	-1.0258E+2
6.1359E+2	-6.9515E-1	8.2644E+0	-8.9803E+1	-1.0801E+2	-9.1320E+1	-9.9404E+1	-9.7495E+1
6.5793E+2	-6.3912E-1	7.8873E+0	-9.1930E+1	-1.0751E+2	-9.5075E+1	-1.0458E+2	-9.5563E+1
7.0548E+2	-5.8744E-1	7.5115E+0	-8.9018E+1	-1.0925E+2	-8.9782E+1	-1.0196E+2	-9.8968E+1
7.5646E+2	-5.3998E-1	7.1375E+0	-9.3088E+1	-1.0925E+2	-9.4566E+1	-1.0274E+2	-1.0116E+2
8.1113E+2	-4.9660E-1	6.7699E+0	-9.0506E+1	-1.1083E+2	-9.1728E+1	-1.0169E+2	-9.8469E+1
8.6975E+2	-4.5719E-1	6.4071E+0	-9.1482E+1	-9.8970E+1	-9.5375E+1	-9.9399E+1	-9.7468E+1
9.3260E+2	-4.2149E-1	6.0543E+0	-9.2678E+1	-1.0391E+2	-9.4696E+1	-1.0179E+2	-1.0028E+2
1.0000E+3	-3.8940E-1	5.7106E+0	-9.2342E+1	-9.6053E+1	-9.5267E+1	-1.0518E+2	-1.1130E+2
1.0723E+3	-3.6056E-1	5.3775E+0	-9.1768E+1	-1.1403E+2	-9.2169E+1	-1.0914E+2	-1.0372E+2
1.1498E+3	-3.3465E-1	5.0558E+0	-8.8925E+1	-9.9611E+1	-9.0983E+1	-9.8237E+1	-9.6501E+1
1.2328E+3	-3.1177E-1	4.7464E+0	-9.1600E+1	-9.7408E+1	-9.4186E+1	-1.0108E+2	-1.0294E+2
1.3219E+3	-2.9135E-1	4.4512E+0	-9.1774E+1	-1.1327E+2	-9.2802E+1	-9.9270E+1	-1.0769E+2
1.4175E+3	-2.7313E-1	4.1682E+0	-8.9371E+1	-1.0174E+2	-8.9896E+1	-1.0445E+2	-1.0542E+2
1.5199E+3	-2.5707E-1	3.8977E+0	-8.8145E+1	-1.0275E+2	-8.8888E+1	-9.7294E+1	-1.1919E+2
1.6298E+3	-2.4282E-1	3.6415E+0	-9.0930E+1	-9.8314E+1	-9.3026E+1	-1.0033E+2	-1.0162E+2
1.7475E+3	-2.3042E-1	3.3967E+0	-9.4205E+1	-1.0065E+2	-9.6374E+1	-1.0757E+2	-1.0340E+2
1.8738E+3	-2.1939E-1	3.1644E+0	-8.9093E+1	-9.7104E+1	-9.0309E+1	-1.0195E+2	-1.0373E+2
2.0092E+3	-2.0974E-1	2.9455E+0	-9.1729E+1	-1.0233E+2	-9.2470E+1	-1.0728E+2	-1.0552E+2
2.1544E+3	-2.0127E-1	2.7372E+0	-8.8975E+1	-9.5775E+1	-9.0184E+1	-1.1676E+2	-1.0387E+2
2.3101E+3	-1.9385E-1	2.5385E+0	-9.2639E+1	-1.0056E+2	-9.9509E+1	-1.0327E+2	-9.5261E+1
2.4771E+3	-1.8728E-1	2.3520E+0	-8.8006E+1	-9.8227E+1	-8.8885E+1	-1.0481E+2	-9.9728E+1
2.6561E+3	-1.8170E-1	2.1756E+0	-8.8845E+1	-9.5668E+1	-9.0166E+1	-1.0309E+2	-1.0658E+2
2.8480E+3	-1.7657E-1	2.0072E+0	-9.0284E+1	-9.8189E+1	-9.2192E+1	-9.8560E+1	-1.0377E+2
3.0539E+3	-1.7223E-1	1.8482E+0	-9.0807E+1	-1.0317E+2	-9.1257E+1	-1.0562E+2	-1.1206E+2
3.2745E+3	-1.6844E-1	1.6977E+0	-9.1550E+1	-1.0035E+2	-9.2996E+1	-1.0286E+2	-1.0266E+2
3.5112E+3	-1.6512E-1	1.5549E+0	-9.1084E+1	-1.0271E+2	-9.1728E+1	-1.1448E+2	-1.0298E+2
3.7649E+3	-1.6215E-1	1.4177E+0	-9.4973E+1	-1.1269E+2	-9.6627E+1	-1.0059E+2	-1.1087E+2
4.0370E+3	-1.5964E-1	1.2887E+0	-9.1438E+1	-1.0804E+2	-9.5976E+1	-1.0265E+2	-9.4029E+1
4.3288E+3	-1.5764E-1	1.1649E+0	-8.7763E+1	-1.0161E+2	-8.8627E+1	-1.1286E+2	-9.6432E+1
4.6416E+3	-1.5550E-1	1.0460E+0	-9.0605E+1	-1.1526E+2	-9.0986E+1	-1.0418E+2	-1.0497E+2
4.9770E+3	-1.5383E-1	9.3359E-1	-9.2150E+1	-1.0612E+2	-9.3611E+1	-1.1159E+2	-9.8453E+1
5.3367E+3	-1.5221E-1	8.2416E-1	-9.3864E+1	-1.0574E+2	-9.6249E+1	-9.8329E+1	NaN
5.7224E+3	-1.5095E-1	7.1893E-1	-9.4450E+1	-1.0939E+2	-9.6110E+1	-9.9892E+1	NaN
6.1359E+3	-1.4986E-1	6.1631E-1	-9.1776E+1	-1.0109E+2	-9.2431E+1	-1.0820E+2	NaN
6.5793E+3	-1.4863E-1	5.1792E-1	-9.2466E+1	-1.0136E+2	-9.3067E+1	NaN	NaN
7.0548E+3	-1.4780E-1	4.2258E-1	-8.9367E+1	-1.0614E+2	-8.9459E+1	NaN	NaN
7.5646E+3	-1.4688E-1	3.2821E-1	-9.1294E+1	-9.3751E+1	-9.4938E+1	NaN	NaN
8.1113E+3	-1.4605E-1	2.3507E-1	-9.3496E+1	-9.7098E+1	-9.5986E+1	NaN	NaN
8.6975E+3	-1.4535E-1	1.4389E-1	-9.8727E+1	-9.8727E+1	NaN	NaN	NaN
9.3260E+3	-1.4466E-1	5.2664E-2	-9.3928E+1	-9.3928E+1	NaN	NaN	NaN
1.0000E+4	-1.4392E-1	-3.8242E-2	-9.8370E+1	-9.8370E+1	NaN	NaN	NaN
