%	Date:	2016-12-09	Time:	15:19:04
%	Sampling frequency		[Hz]:	50000
%	Generator amplitude		[V]:	1.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[dB]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	-5.4176E+0	3.6631E+0	-9.1299E+1	-9.9364E+1	-9.2615E+1	-1.0867E+2	-1.0190E+2
1.0723E+1	-5.4051E+0	3.9058E+0	-8.9548E+1	-1.1265E+2	-9.0049E+1	-1.0137E+2	-1.0370E+2
1.1498E+1	-5.3909E+0	4.1628E+0	-8.9666E+1	-1.0397E+2	-9.0361E+1	-1.0895E+2	-9.9707E+1
1.2328E+1	-5.3747E+0	4.4335E+0	-9.2977E+1	-1.0339E+2	-9.5025E+1	-1.2750E+2	-9.8434E+1
1.3219E+1	-5.3566E+0	4.7201E+0	-8.9328E+1	-9.8590E+1	-9.1039E+1	-9.7879E+1	-1.0104E+2
1.4175E+1	-5.3362E+0	5.0216E+0	-8.9949E+1	-1.0026E+2	-9.0816E+1	-1.0701E+2	-1.0161E+2
1.5199E+1	-5.3131E+0	5.3379E+0	-9.0806E+1	-9.8421E+1	-9.2059E+1	-1.0466E+2	-1.0522E+2
1.6298E+1	-5.2872E+0	5.6687E+0	-8.9883E+1	-1.0104E+2	-9.1548E+1	-1.0066E+2	-9.7893E+1
1.7475E+1	-5.2581E+0	6.0137E+0	-9.0632E+1	-1.0442E+2	-9.1417E+1	-1.0812E+2	-1.0038E+2
1.8738E+1	-5.2255E+0	6.3721E+0	-8.8692E+1	-9.9330E+1	-8.9194E+1	-1.0938E+2	-1.0711E+2
2.0092E+1	-5.1892E+0	6.7436E+0	-8.9189E+1	-9.8420E+1	-9.0049E+1	-1.0171E+2	-1.1266E+2
2.1544E+1	-5.1489E+0	7.1247E+0	-9.3556E+1	-9.9961E+1	-9.5927E+1	-1.0575E+2	-1.0237E+2
2.3101E+1	-5.1041E+0	7.5157E+0	-9.0919E+1	-9.7670E+1	-9.2762E+1	-1.0344E+2	-1.0197E+2
2.4771E+1	-5.0548E+0	7.9139E+0	-9.1720E+1	-1.0196E+2	-9.2798E+1	-1.1149E+2	-1.0113E+2
2.6561E+1	-5.0007E+0	8.3157E+0	-8.9214E+1	-9.6573E+1	-9.0421E+1	-1.0245E+2	-1.0857E+2
2.8480E+1	-4.9415E+0	8.7211E+0	-9.0295E+1	-1.0014E+2	-9.1701E+1	-9.9163E+1	-1.0393E+2
3.0539E+1	-4.8773E+0	9.1241E+0	-9.0233E+1	-9.8812E+1	-9.1139E+1	-1.0603E+2	-1.0655E+2
3.2745E+1	-4.8081E+0	9.5234E+0	-9.0529E+1	-1.0769E+2	-9.1758E+1	-1.0225E+2	-9.8485E+1
3.5112E+1	-4.7339E+0	9.8976E+0	-6.7955E+1	-7.3445E+1	-7.3495E+1	-7.4300E+1	-7.4814E+1
3.7649E+1	-4.6541E+0	1.0296E+1	-9.2935E+1	-1.0469E+2	-9.9094E+1	-9.5814E+1	-1.0049E+2
4.0370E+1	-4.5698E+0	1.0664E+1	-9.1078E+1	-9.8245E+1	-9.2798E+1	-1.0988E+2	-1.0022E+2
4.3288E+1	-4.4811E+0	1.1015E+1	-8.9466E+1	-1.0126E+2	-9.0110E+1	-1.0655E+2	-1.0230E+2
4.6416E+1	-4.3880E+0	1.1344E+1	-9.0392E+1	-9.4970E+1	-9.4002E+1	-1.0587E+2	-9.7657E+1
4.9770E+1	-4.2913E+0	1.1655E+1	-8.9702E+1	-1.1338E+2	-9.0564E+1	-9.9402E+1	-1.0133E+2
5.3367E+1	-4.1911E+0	1.1940E+1	-8.7852E+1	-9.4923E+1	-8.9813E+1	-1.0234E+2	-9.6666E+1
5.7224E+1	-4.0880E+0	1.2203E+1	-8.9169E+1	-9.8256E+1	-9.1517E+1	-1.0890E+2	-9.4641E+1
6.1359E+1	-3.9823E+0	1.2439E+1	-8.9930E+1	-9.8914E+1	-9.1223E+1	-1.0004E+2	-1.0466E+2
6.5793E+1	-3.8745E+0	1.2651E+1	-9.1584E+1	-9.7206E+1	-9.5938E+1	-9.9397E+1	-9.8715E+1
7.0548E+1	-3.7650E+0	1.2837E+1	-9.2359E+1	-9.4231E+1	-9.8071E+1	-1.1181E+2	-1.0387E+2
7.5646E+1	-3.6541E+0	1.2998E+1	-8.9373E+1	-9.9693E+1	-9.0246E+1	-1.0267E+2	-1.0312E+2
8.1113E+1	-3.5421E+0	1.3135E+1	-8.9601E+1	-9.7360E+1	-9.3019E+1	-1.0604E+2	-9.4104E+1
8.6975E+1	-3.4292E+0	1.3247E+1	-8.8329E+1	-9.1099E+1	-9.2763E+1	-9.8300E+1	-1.0810E+2
9.3260E+1	-3.3156E+0	1.3337E+1	-8.4158E+1	-8.6234E+1	-9.0304E+1	-1.1204E+2	-9.2835E+1
1.0000E+2	-3.2018E+0	1.3403E+1	-9.0090E+1	-9.3317E+1	-9.6915E+1	-9.6555E+1	-1.0050E+2
1.0723E+2	-3.0877E+0	1.3446E+1	-8.5517E+1	-8.6724E+1	-1.0006E+2	-9.5825E+1	-9.4932E+1
1.1498E+2	-2.9735E+0	1.3468E+1	-8.8288E+1	-9.5651E+1	-9.1717E+1	-9.5970E+1	-9.5454E+1
1.2328E+2	-2.8596E+0	1.3466E+1	-8.6969E+1	-8.8429E+1	-9.6360E+1	-9.7014E+1	-9.8425E+1
