%	Date:	2016-12-09	Time:	15:39:35
%	Sampling frequency		[Hz]:	50000
%	Generator amplitude		[V]:	1.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[dB]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	2.0190E+1	-1.4221E+1	-9.5605E+1	-1.0783E+2	-9.6035E+1	-1.3220E+2	-1.1028E+2
1.0723E+1	2.0136E+1	-1.5176E+1	-9.5487E+1	-1.0508E+2	-9.6125E+1	-1.3251E+2	-1.1124E+2
1.1498E+1	2.0076E+1	-1.6182E+1	-9.5741E+1	-1.0789E+2	-9.6151E+1	-1.2861E+2	-1.1119E+2
1.2328E+1	2.0007E+1	-1.7240E+1	-9.5508E+1	-1.0340E+2	-9.6491E+1	-1.1510E+2	-1.1089E+2
1.3219E+1	1.9930E+1	-1.8350E+1	-9.6330E+1	-1.0743E+2	-9.6849E+1	-1.2275E+2	-1.1119E+2
1.4175E+1	1.9843E+1	-1.9512E+1	-9.5822E+1	-1.0237E+2	-9.7066E+1	-1.3061E+2	-1.1148E+2
1.5199E+1	1.9745E+1	-2.0723E+1	-9.6396E+1	-1.0812E+2	-9.6857E+1	-1.2396E+2	-1.1139E+2
1.6298E+1	1.9636E+1	-2.1982E+1	-9.5751E+1	-1.0232E+2	-9.7013E+1	-1.4460E+2	-1.1075E+2
1.7475E+1	1.9513E+1	-2.3286E+1	-9.7106E+1	-1.0588E+2	-9.7901E+1	-1.3521E+2	-1.1171E+2
1.8738E+1	1.9378E+1	-2.4630E+1	-9.6375E+1	-1.0264E+2	-9.7710E+1	-1.2525E+2	-1.1202E+2
2.0092E+1	1.9227E+1	-2.6009E+1	-9.6682E+1	-1.0367E+2	-9.7812E+1	-1.2488E+2	-1.1232E+2
2.1544E+1	1.9061E+1	-2.7418E+1	-9.6862E+1	-1.0316E+2	-9.8168E+1	-1.2674E+2	-1.1310E+2
2.3101E+1	1.8879E+1	-2.8848E+1	-9.7306E+1	-1.0609E+2	-9.8040E+1	-1.3089E+2	-1.1371E+2
2.4771E+1	1.8679E+1	-3.0291E+1	-9.6160E+1	-1.0078E+2	-9.8143E+1	-1.3159E+2	-1.1291E+2
2.6561E+1	1.8462E+1	-3.1739E+1	-9.7511E+1	-1.0231E+2	-9.9387E+1	-1.3214E+2	-1.1462E+2
2.8480E+1	1.8227E+1	-3.3181E+1	-9.7276E+1	-1.0348E+2	-9.8619E+1	-1.2095E+2	-1.1383E+2
3.0539E+1	1.7975E+1	-3.4608E+1	-9.7976E+1	-1.0396E+2	-9.9420E+1	-1.2590E+2	-1.1335E+2
3.2745E+1	1.7704E+1	-3.6007E+1	-9.7083E+1	-1.0162E+2	-9.9229E+1	-1.2088E+2	-1.1182E+2
3.5112E+1	1.7415E+1	-3.7369E+1	-9.7167E+1	-1.0218E+2	-9.8929E+1	-1.2432E+2	-1.1506E+2
3.7649E+1	1.7110E+1	-3.8683E+1	-9.8458E+1	-1.0541E+2	-9.9593E+1	-1.2687E+2	-1.1415E+2
4.0370E+1	1.6788E+1	-3.9938E+1	-9.5566E+1	-9.8285E+1	-9.8962E+1	-1.1943E+2	-1.1977E+2
4.3288E+1	1.6451E+1	-4.1125E+1	-9.8619E+1	-1.0407E+2	-1.0040E+2	-1.2190E+2	-1.1192E+2
4.6416E+1	1.6100E+1	-4.2235E+1	-9.6025E+1	-9.8585E+1	-9.9666E+1	-1.2574E+2	-1.1524E+2
4.9770E+1	1.5737E+1	-4.3262E+1	-9.7735E+1	-1.0249E+2	-9.9694E+1	-1.1754E+2	-1.1520E+2
5.3367E+1	1.5362E+1	-4.4199E+1	-9.3691E+1	-9.5205E+1	-9.9105E+1	-1.1564E+2	-1.2615E+2
5.7224E+1	1.4978E+1	-4.5042E+1	-9.7161E+1	-9.9691E+1	-1.0097E+2	-1.1320E+2	-1.3098E+2
6.1359E+1	1.4585E+1	-4.5786E+1	-9.6571E+1	-9.9237E+1	-1.0006E+2	-1.2962E+2	-1.1621E+2
6.5793E+1	1.4187E+1	-4.6432E+1	-9.3342E+1	-9.4496E+1	-1.0019E+2	-1.0969E+2	-1.1804E+2
7.0548E+1	1.3783E+1	-4.6979E+1	-9.5248E+1	-9.7143E+1	-1.0029E+2	-1.1107E+2	-1.1378E+2
