%	Date:	2016-12-09	Time:	15:21:21
%	Sampling frequency		[Hz]:	50000
%	Generator amplitude		[V]:	1.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[dB]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.8738E+2	4.3276E+0	-2.5166E+1	-8.9387E+1	-9.0483E+1	-9.7349E+1	-1.0253E+2	-1.0773E+2
2.0092E+2	4.1194E+0	-2.4977E+1	-9.0868E+1	-9.4605E+1	-9.4448E+1	-1.0190E+2	-1.0310E+2
2.1544E+2	3.9128E+0	-2.4750E+1	-9.6645E+1	-9.9938E+1	-1.0126E+2	-1.0526E+2	-1.0980E+2
2.3101E+2	3.7082E+0	-2.4483E+1	-8.8623E+1	-9.0661E+1	-9.3681E+1	-1.0108E+2	-1.1121E+2
2.4771E+2	3.5061E+0	-2.4178E+1	-9.1105E+1	-9.7404E+1	-9.3096E+1	-1.0632E+2	-1.0097E+2
2.6561E+2	3.3069E+0	-2.3834E+1	-9.0868E+1	-9.4967E+1	-9.3246E+1	-1.0784E+2	-1.0994E+2
2.8480E+2	3.1113E+0	-2.3453E+1	-9.0578E+1	-9.5165E+1	-9.3500E+1	-1.0525E+2	-1.0025E+2
3.0539E+2	2.9195E+0	-2.3035E+1	-9.4298E+1	-9.8159E+1	-1.0079E+2	-1.0053E+2	-1.0328E+2
3.2745E+2	2.7322E+0	-2.2580E+1	-9.5051E+1	-1.0412E+2	-9.8078E+1	-1.0297E+2	-1.0169E+2
3.5112E+2	2.5495E+0	-2.2092E+1	-9.5390E+1	-1.0192E+2	-1.0151E+2	-1.1053E+2	-9.8381E+1
3.7649E+2	2.3722E+0	-2.1570E+1	-9.3970E+1	-1.0370E+2	-9.4980E+1	-1.1641E+2	-1.0417E+2
4.0370E+2	2.2004E+0	-2.1018E+1	-9.2846E+1	-9.9832E+1	-9.4335E+1	-1.1111E+2	-1.0409E+2
4.3288E+2	2.0348E+0	-2.0436E+1	-9.3448E+1	-9.5393E+1	-1.0020E+2	-1.0775E+2	-1.0293E+2
4.6416E+2	1.8757E+0	-1.9828E+1	-9.2467E+1	-1.1344E+2	-9.3784E+1	-1.0178E+2	-1.0111E+2
