%	Date:	2016-12-09	Time:	15:15:09
%	Sampling frequency		[Hz]:	50000
%	Generator amplitude		[V]:	1.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[dB]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.8738E+2	1.2693E+0	-6.7497E+0	-8.9653E+1	-9.2599E+1	-9.3735E+1	-1.0190E+2	-1.0340E+2
2.0092E+2	1.2107E+0	-6.7384E+0	-9.0260E+1	-9.5861E+1	-9.2512E+1	-1.0097E+2	-1.0379E+2
2.1544E+2	1.1520E+0	-6.7133E+0	-9.3191E+1	-9.7772E+1	-9.5962E+1	-1.0862E+2	-1.0343E+2
2.3101E+2	1.0934E+0	-6.6730E+0	-8.8236E+1	-9.1087E+1	-9.2438E+1	-9.9473E+1	-1.0406E+2
2.4771E+2	1.0349E+0	-6.6187E+0	-8.8577E+1	-9.6962E+1	-9.0371E+1	-9.7302E+1	-1.0085E+2
2.6561E+2	9.7681E-1	-6.5481E+0	-8.8613E+1	-9.0954E+1	-9.3972E+1	-1.0041E+2	-1.0087E+2
2.8480E+2	9.1963E-1	-6.4634E+0	-9.1623E+1	-1.0004E+2	-9.3033E+1	-1.1405E+2	-1.0057E+2
3.0539E+2	8.6315E-1	-6.3620E+0	-9.1258E+1	-9.3950E+1	-9.5184E+1	-1.1262E+2	-1.0430E+2
3.2745E+2	8.0793E-1	-6.2464E+0	-9.2882E+1	-9.8678E+1	-9.5083E+1	-1.0298E+2	-1.0725E+2
3.5112E+2	7.5425E-1	-6.1172E+0	-9.1352E+1	-9.8389E+1	-9.2606E+1	-1.0413E+2	-1.2911E+2
3.7649E+2	7.0227E-1	-5.9747E+0	-9.1767E+1	-1.0443E+2	-9.2626E+1	-1.0199E+2	-1.0696E+2
4.0370E+2	6.5209E-1	-5.8193E+0	-9.0866E+1	-9.8212E+1	-9.1978E+1	-1.0507E+2	-1.1519E+2
4.3288E+2	6.0403E-1	-5.6526E+0	-9.1593E+1	-1.0272E+2	-9.5376E+1	-9.6734E+1	-9.8623E+1
4.6416E+2	5.5817E-1	-5.4754E+0	-9.0968E+1	-9.8079E+1	-9.2801E+1	-9.9644E+1	-1.0945E+2
4.9770E+2	5.1467E-1	-5.2908E+0	-9.2555E+1	-9.9790E+1	-9.8009E+1	-1.0637E+2	-9.5701E+1
5.3367E+2	4.7392E-1	-5.0993E+0	-9.0732E+1	-9.6857E+1	-9.2512E+1	-1.0654E+2	-1.0255E+2
5.7224E+2	4.3552E-1	-4.9023E+0	-9.2845E+1	-1.1052E+2	-9.3868E+1	-1.0012E+2	-1.1540E+2
6.1359E+2	3.9995E-1	-4.7011E+0	-8.9871E+1	-1.0122E+2	-9.2095E+1	-1.0143E+2	-9.5760E+1
6.5793E+2	3.6682E-1	-4.4986E+0	-9.1842E+1	-9.8683E+1	-9.7330E+1	-1.0123E+2	-9.5873E+1
7.0548E+2	3.3638E-1	-4.2958E+0	-9.2622E+1	-1.0044E+2	-9.4732E+1	-1.0195E+2	-1.0250E+2
7.5646E+2	3.0852E-1	-4.0944E+0	-9.3913E+1	-9.7451E+1	-9.8950E+1	-1.0256E+2	-1.0361E+2
8.1113E+2	2.8304E-1	-3.8934E+0	-9.0723E+1	-9.8592E+1	-9.2905E+1	-9.7322E+1	-1.0965E+2
8.6975E+2	2.6002E-1	-3.6986E+0	-9.3231E+1	-9.8886E+1	-9.7148E+1	-1.0070E+2	-1.0168E+2
9.3260E+2	2.3914E-1	-3.5069E+0	-9.1536E+1	-1.0325E+2	-9.2828E+1	-1.1015E+2	-9.9079E+1
1.0000E+3	2.2034E-1	-3.3212E+0	-9.0955E+1	-9.8636E+1	-9.2447E+1	-1.0179E+2	-1.0520E+2
1.0723E+3	2.0356E-1	-3.1426E+0	-8.9561E+1	-1.0785E+2	-9.1707E+1	-9.4980E+1	-1.0012E+2
1.1498E+3	1.8846E-1	-2.9710E+0	-9.2272E+1	-1.1438E+2	-9.5927E+1	-9.7415E+1	-9.8177E+1
1.2328E+3	1.7506E-1	-2.8061E+0	-8.9602E+1	-9.5056E+1	-9.1536E+1	-1.0123E+2	-1.1206E+2
