%	Date:	2016-12-09	Time:	15:20:34
%	Sampling frequency		[Hz]:	50000
%	Generator amplitude		[V]:	1.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[dB]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	5.4018E+0	-3.5338E+0	-9.4733E+1	-1.0597E+2	-9.5136E+1	-1.1582E+2	-1.1730E+2
1.0723E+1	5.3901E+0	-3.7807E+0	-9.3658E+1	-1.0453E+2	-9.4407E+1	-1.1361E+2	-1.0542E+2
1.1498E+1	5.3767E+0	-4.0415E+0	-9.4934E+1	-1.0561E+2	-9.5799E+1	-1.1896E+2	-1.0534E+2
1.2328E+1	5.3614E+0	-4.3172E+0	-9.3900E+1	-1.1030E+2	-9.4252E+1	-1.1223E+2	-1.0784E+2
1.3219E+1	5.3441E+0	-4.6074E+0	-9.3995E+1	-1.0562E+2	-9.4697E+1	-1.1180E+2	-1.0594E+2
1.4175E+1	5.3243E+0	-4.9127E+0	-9.4249E+1	-1.0613E+2	-9.4847E+1	-1.1803E+2	-1.0649E+2
1.5199E+1	5.3020E+0	-5.2326E+0	-9.4990E+1	-1.0744E+2	-9.5407E+1	-1.2021E+2	-1.0996E+2
1.6298E+1	5.2767E+0	-5.5670E+0	-9.6925E+1	-1.0735E+2	-9.7730E+1	-1.1546E+2	-1.0883E+2
1.7475E+1	5.2483E+0	-5.9158E+0	-9.4948E+1	-1.0545E+2	-9.5554E+1	-1.2373E+2	-1.0896E+2
1.8738E+1	5.2165E+0	-6.2777E+0	-9.4722E+1	-1.0507E+2	-9.5401E+1	-1.2525E+2	-1.0759E+2
2.0092E+1	5.1809E+0	-6.6521E+0	-9.3845E+1	-1.0367E+2	-9.4622E+1	-1.1363E+2	-1.0690E+2
2.1544E+1	5.1412E+0	-7.0375E+0	-9.3923E+1	-1.0952E+2	-9.4563E+1	-1.6026E+2	-1.0353E+2
2.3101E+1	5.0972E+0	-7.4322E+0	-9.4428E+1	-1.0339E+2	-9.5281E+1	-1.1267E+2	-1.0882E+2
2.4771E+1	5.0486E+0	-7.8342E+0	-9.3843E+1	-1.0229E+2	-9.4798E+1	-1.1423E+2	-1.0730E+2
2.6561E+1	4.9952E+0	-8.2410E+0	-9.4705E+1	-1.0554E+2	-9.5210E+1	-1.2041E+2	-1.1078E+2
2.8480E+1	4.9369E+0	-8.6505E+0	-9.4903E+1	-1.1033E+2	-9.6102E+1	-1.0563E+2	-1.0383E+2
3.0539E+1	4.8734E+0	-9.0592E+0	-9.5191E+1	-1.0227E+2	-9.6556E+1	-1.1467E+2	-1.0724E+2
3.2745E+1	4.8048E+0	-9.4640E+0	-9.4648E+1	-1.0638E+2	-9.5123E+1	-1.1586E+2	-1.1002E+2
3.5112E+1	4.7309E+0	-9.8617E+0	-9.2455E+1	-1.0236E+2	-9.3218E+1	-1.0934E+2	-1.0661E+2
3.7649E+1	4.6521E+0	-1.0249E+1	-9.3560E+1	-1.0068E+2	-9.5342E+1	-1.0475E+2	-1.0533E+2
4.0370E+1	4.5683E+0	-1.0623E+1	-9.2881E+1	-9.7932E+1	-9.5016E+1	-1.1947E+2	-1.0422E+2
4.3288E+1	4.4799E+0	-1.0981E+1	-9.3615E+1	-1.0098E+2	-9.4674E+1	-1.1365E+2	-1.0995E+2
4.6416E+1	4.3872E+0	-1.1319E+1	-9.3346E+1	-9.9503E+1	-9.5191E+1	-1.2860E+2	-1.0319E+2
4.9770E+1	4.2907E+0	-1.1636E+1	-9.3664E+1	-9.9250E+1	-9.5937E+1	-1.0745E+2	-1.0415E+2
5.3367E+1	4.1906E+0	-1.1929E+1	-9.2165E+1	-9.4256E+1	-9.6592E+1	-1.1176E+2	-1.1198E+2
5.7224E+1	4.0874E+0	-1.2199E+1	-9.4534E+1	-9.8384E+1	-9.7036E+1	-1.1458E+2	-1.1254E+2
6.1359E+1	3.9816E+0	-1.2443E+1	-9.2511E+1	-1.0026E+2	-9.3450E+1	-1.1242E+2	-1.1035E+2
6.5793E+1	3.8736E+0	-1.2662E+1	-9.1360E+1	-9.3849E+1	-9.5119E+1	-1.1066E+2	-1.1559E+2
7.0548E+1	3.7638E+0	-1.2855E+1	-9.3349E+1	-9.7567E+1	-9.6079E+1	-1.1064E+2	-1.0493E+2
7.5646E+1	3.6525E+0	-1.3022E+1	-9.2240E+1	-9.4517E+1	-9.6827E+1	-1.1027E+2	-1.0576E+2
8.1113E+1	3.5401E+0	-1.3165E+1	-9.2910E+1	-9.9604E+1	-9.4959E+1	-1.0760E+2	-1.0184E+2
8.6975E+1	3.4268E+0	-1.3284E+1	-9.2510E+1	-9.7133E+1	-9.5215E+1	-1.0918E+2	-1.0264E+2
9.3260E+1	3.3128E+0	-1.3378E+1	-8.9788E+1	-9.0426E+1	-1.0112E+2	-1.0723E+2	-1.0324E+2
1.0000E+2	3.1983E+0	-1.3450E+1	-9.3894E+1	-9.5183E+1	-1.0039E+2	-1.1727E+2	-1.0943E+2
1.0723E+2	3.0836E+0	-1.3499E+1	-8.9554E+1	-9.1424E+1	-9.5537E+1	-1.0144E+2	-1.0440E+2
1.1498E+2	2.9689E+0	-1.3524E+1	-9.3787E+1	-1.0065E+2	-9.5766E+1	-1.0175E+2	-1.2830E+2
1.2328E+2	2.8542E+0	-1.3527E+1	-9.0038E+1	-9.0910E+1	-1.0147E+2	-1.1176E+2	-9.9891E+1
1.3219E+2	2.7397E+0	-1.3507E+1	-9.8243E+1	-1.0599E+2	-1.0431E+2	-1.0286E+2	-1.0444E+2
1.4175E+2	2.6257E+0	-1.3467E+1	-8.9272E+1	-9.0961E+1	-9.7310E+1	-1.0445E+2	-9.7975E+1
1.5199E+2	2.5126E+0	-1.3403E+1	-8.7938E+1	-8.8555E+1	-9.7246E+1	-1.0912E+2	-1.0916E+2
1.6298E+2	2.4002E+0	-1.3318E+1	-8.9083E+1	-9.0881E+1	-9.5719E+1	-1.0030E+2	-1.0242E+2
1.7475E+2	2.2891E+0	-1.3212E+1	-8.7986E+1	-9.0089E+1	-9.2556E+1	-1.0335E+2	-1.1049E+2
1.8738E+2	2.1791E+0	-1.3086E+1	-8.9937E+1	-9.4852E+1	-9.2564E+1	-1.0465E+2	-1.0005E+2
2.0092E+2	2.0708E+0	-1.2939E+1	-8.9963E+1	-9.5461E+1	-9.1791E+1	-1.0777E+2	-1.0342E+2
2.1544E+2	1.9641E+0	-1.2773E+1	-9.1752E+1	-1.0097E+2	-9.2780E+1	-1.0492E+2	-1.0544E+2
2.3101E+2	1.8591E+0	-1.2590E+1	-8.7614E+1	-9.0487E+1	-9.1549E+1	-1.2076E+2	-9.8623E+1
2.4771E+2	1.7562E+0	-1.2387E+1	-9.1048E+1	-9.6236E+1	-9.3347E+1	-1.1334E+2	-1.0095E+2
2.6561E+2	1.6552E+0	-1.2167E+1	-9.1936E+1	-9.7982E+1	-9.5900E+1	-9.7647E+1	-1.0282E+2
2.8480E+2	1.5566E+0	-1.1929E+1	-9.4685E+1	-1.0524E+2	-9.6370E+1	-1.0181E+2	-1.0872E+2
3.0539E+2	1.4603E+0	-1.1674E+1	-8.8333E+1	-9.0657E+1	-9.2372E+1	-1.2064E+2	-1.0551E+2
3.2745E+2	1.3667E+0	-1.1404E+1	-9.1450E+1	-9.4782E+1	-9.4964E+1	-1.0877E+2	-1.0288E+2
3.5112E+2	1.2759E+0	-1.1116E+1	-9.1747E+1	-9.6876E+1	-9.5009E+1	-9.8926E+1	-1.0702E+2
3.7649E+2	1.1882E+0	-1.0813E+1	-9.1757E+1	-9.7793E+1	-9.4159E+1	-1.1049E+2	-9.9655E+1
4.0370E+2	1.1037E+0	-1.0495E+1	-8.9920E+1	-9.5479E+1	-9.1828E+1	-1.0460E+2	-1.0355E+2
4.3288E+2	1.0229E+0	-1.0164E+1	-9.0903E+1	-1.0337E+2	-9.4551E+1	-9.5150E+1	-9.9581E+1
4.6416E+2	9.4568E-1	-9.8215E+0	-9.4724E+1	-1.0432E+2	-9.8135E+1	-1.0919E+2	-9.8720E+1
4.9770E+2	8.7253E-1	-9.4687E+0	-9.1521E+1	-9.6508E+1	-9.4734E+1	-1.1588E+2	-9.8465E+1
5.3367E+2	8.0343E-1	-9.1063E+0	-9.0051E+1	-9.6872E+1	-9.1855E+1	-1.0224E+2	-1.0151E+2
5.7224E+2	7.3881E-1	-8.7391E+0	-9.1765E+1	-1.0214E+2	-9.3048E+1	-1.0396E+2	-1.0161E+2
6.1359E+2	6.7827E-1	-8.3686E+0	-9.2699E+1	-9.8894E+1	-9.4597E+1	-1.1329E+2	-1.0248E+2
6.5793E+2	6.2220E-1	-7.9961E+0	-8.9628E+1	-1.0214E+2	-9.0641E+1	-1.0317E+2	-9.9301E+1
7.0548E+2	5.7060E-1	-7.6250E+0	-8.8536E+1	-9.4055E+1	-9.2760E+1	-9.3966E+1	-1.0114E+2
7.5646E+2	5.2322E-1	-7.2570E+0	-9.0822E+1	-1.0278E+2	-9.4899E+1	-9.6816E+1	-9.6145E+1
8.1113E+2	4.7993E-1	-6.8955E+0	-9.4056E+1	-1.0072E+2	-9.7179E+1	-1.0000E+2	-1.0773E+2
8.6975E+2	4.4059E-1	-6.5407E+0	-9.2681E+1	-9.9193E+1	-9.4269E+1	-1.0464E+2	-1.0981E+2
9.3260E+2	4.0488E-1	-6.1950E+0	-9.3735E+1	-9.9305E+1	-9.6335E+1	-1.0843E+2	-1.0230E+2
1.0000E+3	3.7289E-1	-5.8600E+0	-9.5777E+1	-1.0582E+2	-9.8407E+1	-1.0367E+2	-1.0293E+2
1.0723E+3	3.4411E-1	-5.5364E+0	-8.8301E+1	-9.6333E+1	-8.9956E+1	-9.8420E+1	-1.0037E+2
1.1498E+3	3.1829E-1	-5.2261E+0	-8.9961E+1	-9.8535E+1	-9.0723E+1	-1.0710E+2	-1.1558E+2
1.2328E+3	2.9548E-1	-4.9286E+0	-9.1171E+1	-1.0384E+2	-9.2202E+1	-1.0058E+2	-1.0485E+2
1.3219E+3	2.7494E-1	-4.6448E+0	-9.1742E+1	-1.0056E+2	-9.4211E+1	-9.7317E+1	-1.0768E+2
1.4175E+3	2.5683E-1	-4.3743E+0	-9.2737E+1	-1.0824E+2	-9.3039E+1	-1.1087E+2	-1.0901E+2
1.5199E+3	2.4077E-1	-4.1188E+0	-9.3002E+1	-1.0975E+2	-9.3949E+1	-1.0206E+2	-1.0596E+2
1.6298E+3	2.2665E-1	-3.8772E+0	-8.8932E+1	-1.0405E+2	-9.0361E+1	-9.6367E+1	-1.0054E+2
1.7475E+3	2.1414E-1	-3.6498E+0	-8.9261E+1	-9.7484E+1	-9.0871E+1	-9.8018E+1	-1.0513E+2
1.8738E+3	2.0323E-1	-3.4357E+0	-8.9115E+1	-1.0588E+2	-8.9700E+1	-1.1323E+2	-9.9065E+1
2.0092E+3	1.9352E-1	-3.2340E+0	-8.9102E+1	-1.0192E+2	-9.0070E+1	-9.9440E+1	-1.0170E+2
2.1544E+3	1.8494E-1	-3.0463E+0	-9.0802E+1	-1.0114E+2	-9.3777E+1	-1.0513E+2	-9.5162E+1
2.3101E+3	1.7773E-1	-2.8707E+0	-9.4205E+1	-1.1272E+2	-9.4319E+1	-1.1495E+2	-1.1876E+2
2.4771E+3	1.7107E-1	-2.7080E+0	-9.0161E+1	-9.6739E+1	-9.5191E+1	-1.0002E+2	-9.4563E+1
2.6561E+3	1.6528E-1	-2.5559E+0	-8.9347E+1	-9.5574E+1	-9.1083E+1	-1.0075E+2	-1.0665E+2
2.8480E+3	1.6025E-1	-2.4155E+0	-9.0783E+1	-1.1093E+2	-9.1500E+1	-1.0013E+2	-1.0661E+2
3.0539E+3	1.5601E-1	-2.2850E+0	-8.9798E+1	-1.0182E+2	-9.0724E+1	-1.1412E+2	-9.8811E+1
3.2745E+3	1.5214E-1	-2.1655E+0	-9.0153E+1	-1.0021E+2	-9.1965E+1	-1.0774E+2	-9.6629E+1
3.5112E+3	1.4877E-1	-2.0555E+0	-9.4184E+1	-9.9592E+1	-9.8505E+1	-1.0239E+2	-1.0137E+2
3.7649E+3	1.4584E-1	-1.9540E+0	-9.0644E+1	-9.9188E+1	-9.1822E+1	-1.0975E+2	-1.0132E+2
4.0370E+3	1.4327E-1	-1.8626E+0	-8.7959E+1	-1.0760E+2	-9.1475E+1	-9.8587E+1	-9.1354E+1
4.3288E+3	1.4123E-1	-1.7801E+0	-9.0601E+1	-1.0338E+2	-9.4722E+1	-1.0141E+2	-9.3814E+1
4.6416E+3	1.3914E-1	-1.7053E+0	-9.1005E+1	-1.0926E+2	-9.2314E+1	-1.1489E+2	-9.7181E+1
4.9770E+3	1.3765E-1	-1.6371E+0	-9.1307E+1	-1.0094E+2	-9.3540E+1	-9.8004E+1	-1.0233E+2
