2.3286E+2	1.0703E+1	3.8171E+0	3.1613E+1	-1.5314E+1	-1.2676E+1	-1.9249E+1	-2.3344E+1
2.5144E+2	1.0774E+1	3.5119E+0	3.1067E+1	-1.5416E+1	-1.2955E+1	-1.9177E+1	-2.2964E+1
2.7151E+2	1.0845E+1	3.1726E+0	3.0555E+1	-1.5507E+1	-1.3216E+1	-1.9085E+1	-2.2849E+1
2.9317E+2	1.0913E+1	2.7991E+0	3.0107E+1	-1.5571E+1	-1.3418E+1	-1.9024E+1	-2.3117E+1
3.1657E+2	1.0978E+1	2.3965E+0	2.9733E+1	-1.5663E+1	-1.3498E+1	-1.9085E+1	-2.3744E+1
3.4183E+2	1.1036E+1	1.9706E+0	2.9554E+1	-1.5709E+1	-1.3456E+1	-1.9223E+1	-2.4690E+1
3.6911E+2	1.1084E+1	1.5329E+0	2.9659E+1	-1.5686E+1	-1.3313E+1	-1.9367E+1	-2.5588E+1
3.9857E+2	1.1122E+1	1.0997E+0	3.0038E+1	-1.5626E+1	-1.3108E+1	-1.9457E+1	-2.5800E+1
4.3037E+2	1.1146E+1	7.0014E-1	3.0604E+1	-1.5493E+1	-1.2927E+1	-1.9373E+1	-2.5370E+1
4.6472E+2	1.1155E+1	4.0441E-1	3.1071E+1	-1.5341E+1	-1.2835E+1	-1.9196E+1	-2.4941E+1
5.0180E+2	1.1157E+1	2.2569E-1	3.1343E+1	-1.5218E+1	-1.2809E+1	-1.9054E+1	-2.4743E+1
5.4184E+2	1.1157E+1	1.8102E-1	3.1333E+1	-1.5226E+1	-1.2807E+1	-1.9064E+1	-2.4735E+1
5.8508E+2	1.1156E+1	1.4794E-1	3.1304E+1	-1.5237E+1	-1.2811E+1	-1.9078E+1	-2.4756E+1
6.3177E+2	1.1155E+1	1.1656E-1	3.1276E+1	-1.5239E+1	-1.2820E+1	-1.9085E+1	-2.4800E+1
6.8219E+2	1.1154E+1	8.5190E-2	3.1234E+1	-1.5253E+1	-1.2828E+1	-1.9101E+1	-2.4845E+1
7.3663E+2	1.1153E+1	5.0082E-2	3.1178E+1	-1.5273E+1	-1.2837E+1	-1.9121E+1	-2.4902E+1
7.9541E+2	1.1152E+1	1.0297E-2	3.1104E+1	-1.5301E+1	-1.2849E+1	-1.9146E+1	-2.4978E+1
8.5889E+2	1.1151E+1	-3.7424E-2	3.1012E+1	-1.5335E+1	-1.2865E+1	-1.9175E+1	-2.5076E+1
9.2743E+2	1.1149E+1	-9.6035E-2	3.0896E+1	-1.5378E+1	-1.2886E+1	-1.9208E+1	-2.5204E+1
1.0014E+3	1.1146E+1	-1.6733E-1	3.0753E+1	-1.5432E+1	-1.2913E+1	-1.9245E+1	-2.5365E+1
1.0814E+3	1.1143E+1	-2.5479E-1	3.0577E+1	-1.5501E+1	-1.2945E+1	-1.9289E+1	-2.5557E+1
1.1676E+3	1.1139E+1	-3.6032E-1	3.0372E+1	-1.5577E+1	-1.2988E+1	-1.9327E+1	-2.5800E+1
1.2608E+3	1.1133E+1	-4.8706E-1	3.0142E+1	-1.5658E+1	-1.3044E+1	-1.9353E+1	-2.6097E+1
1.3614E+3	1.1126E+1	-6.3671E-1	2.9875E+1	-1.5759E+1	-1.3110E+1	-1.9373E+1	-2.6429E+1
1.4701E+3	1.1117E+1	-8.1252E-1	2.9588E+1	-1.5862E+1	-1.3191E+1	-1.9367E+1	-2.6815E+1
1.5874E+3	1.1106E+1	-1.0154E+0	2.9277E+1	-1.5980E+1	-1.3285E+1	-1.9337E+1	-2.7219E+1
1.7141E+3	1.1092E+1	-1.2475E+0	2.8964E+1	-1.6093E+1	-1.3397E+1	-1.9266E+1	-2.7641E+1
1.8509E+3	1.1075E+1	-1.5105E+0	2.8653E+1	-1.6210E+1	-1.3521E+1	-1.9160E+1	-2.8023E+1
1.9986E+3	1.1055E+1	-1.8039E+0	2.8369E+1	-1.6308E+1	-1.3659E+1	-1.9012E+1	-2.8346E+1
2.1581E+3	1.1030E+1	-2.1291E+0	2.8127E+1	-1.6386E+1	-1.3805E+1	-1.8829E+1	-2.8555E+1
2.3303E+3	1.1000E+1	-2.4841E+0	2.7946E+1	-1.6428E+1	-1.3953E+1	-1.8624E+1	-2.8638E+1
2.5162E+3	1.0965E+1	-2.8685E+0	2.7842E+1	-1.6423E+1	-1.4096E+1	-1.8414E+1	-2.8610E+1
2.7170E+3	1.0923E+1	-3.2782E+0	2.7834E+1	-1.6352E+1	-1.4222E+1	-1.8216E+1	-2.8547E+1
2.9338E+3	1.0873E+1	-3.7085E+0	2.7938E+1	-1.6205E+1	-1.4318E+1	-1.8044E+1	-2.8524E+1
3.1680E+3	1.0816E+1	-4.1535E+0	2.8163E+1	-1.5987E+1	-1.4369E+1	-1.7911E+1	-2.8595E+1
3.4208E+3	1.0750E+1	-4.6027E+0	2.8512E+1	-1.5702E+1	-1.4371E+1	-1.7821E+1	-2.8790E+1
3.6938E+3	1.0675E+1	-5.0430E+0	2.8989E+1	-1.5368E+1	-1.4321E+1	-1.7755E+1	-2.9068E+1
3.9885E+3	1.0592E+1	-5.4562E+0	2.9591E+1	-1.5008E+1	-1.4227E+1	-1.7685E+1	-2.9313E+1
4.3068E+3	1.0503E+1	-5.8258E+0	3.0293E+1	-1.4642E+1	-1.4110E+1	-1.7578E+1	-2.9399E+1
4.6505E+3	1.0409E+1	-6.1318E+0	3.1042E+1	-1.4296E+1	-1.3994E+1	-1.7414E+1	-2.9316E+1
5.0216E+3	1.0313E+1	-6.3599E+0	3.1586E+1	-1.3988E+1	-1.3893E+1	-1.7203E+1	NaN
5.4223E+3	1.0217E+1	-6.5080E+0	3.2238E+1	-1.3729E+1	-1.3820E+1	-1.6977E+1	NaN
5.8550E+3	1.0122E+1	-6.5795E+0	3.2714E+1	-1.3518E+1	-1.3773E+1	-1.6863E+1	NaN
6.3223E+3	1.0031E+1	-6.5926E+0	2.9755E+1	-1.3345E+1	-1.3742E+1	NaN	NaN
6.8268E+3	9.9455E+0	-6.5737E+0	3.0069E+1	-1.3197E+1	-1.3715E+1	NaN	NaN
7.3716E+3	9.8665E+0	-6.5367E+0	3.0362E+1	-1.3063E+1	-1.3687E+1	NaN	NaN
