Freq.	V(Gain2.62)	V(Gain5.24)	V(Gain10.48)	V(20.96)	V(-2.62)	V(-5.24)	V(-10.48)
1.41253754462275e+000	(2.61950165424554e+000dB,1.79775232114070e+002°)	(5.23867515846699e+000dB,1.79549509245799e+002°)	(1.04773655748379e+001dB,1.79078506023335e+002°)	(2.09520633695242e+001dB,1.77909347402964e+002°)	(-2.61953731579037e+000dB,-1.79775265198716e+002°)	(-5.23871345947445e+000dB,-1.79549590641736e+002°)	(-1.04774147643059e+001dB,-1.79078548987161e+002°)
1.44543977074593e+000	(2.61947084451229e+000dB,1.79770001279503e+002°)	(5.23861396325267e+000dB,1.79539025098625e+002°)	(1.04772371978555e+001dB,1.79057061238899e+002°)	(2.09516958889735e+001dB,1.77860723902865e+002°)	(-2.61950650617042e+000dB,-1.79770035134769e+002°)	(-5.23865227264268e+000dB,-1.79539108389319e+002°)	(-1.04772863895710e+001dB,-1.79057105203041e+002°)
1.47910838816821e+000	(2.61943858443019e+000dB,1.79764648937723e+002°)	(5.23854988718515e+000dB,1.79528297396773e+002°)	(1.04771027776697e+001dB,1.79035118339530e+002°)	(2.09513111259479e+001dB,1.77810973103557e+002°)	(-2.61947424620695e+000dB,-1.79764683581559e+002°)	(-5.23858820535237e+000dB,-1.79528382626272e+002°)	(-1.04771519717384e+001dB,-1.79035163327255e+002°)
1.51356124843621e+000	(2.61940480580729e+000dB,1.79759172282360e+002°)	(5.23848279480133e+000dB,1.79517320513725e+002°)	(1.04769620301492e+001dB,1.79012665822496e+002°)	(2.09509082694488e+001dB,1.77760069123971e+002°)	(-2.61944046770827e+000dB,-1.79759207733132e+002°)	(-5.23852112215896e+000dB,-1.79517407727100e+002°)	(-1.04770112266818e+001dB,-1.79012711857615e+002°)
1.54881661891248e+000	(2.61936943725333e+000dB,1.79753568443377e+002°)	(5.23841254428351e+000dB,1.79506088695232e+002°)	(1.04768146578375e+001dB,1.78989691924258e+002°)	(2.09504864705933e+001dB,1.77707985507030e+002°)	(-2.61940509928437e+000dB,-1.79753604719879e+002°)	(-5.23845088126421e+000dB,-1.79506177938594e+002°)	(-1.04768638569499e+001dB,-1.78989739031131e+002°)
1.58489319246111e+000	(2.61933240403052e+000dB,1.79747834485712e+002°)	(5.23833898716279e+000dB,1.79494596056572e+002°)	(1.04766603493305e+001dB,1.78966184614900e+002°)	(2.09500448408604e+001dB,1.77654695208137e+002°)	(-2.61936806619774e+000dB,-1.79747871607176e+002°)	(-5.23837733421955e+000dB,-1.79494687377101e+002°)	(-1.04767095511441e+001dB,-1.78966232818451e+002°)
1.62181009735893e+000	(2.61929362789743e+000dB,1.79741967407894e+002°)	(5.23826196800873e+000dB,1.79482836579768e+002°)	(1.04764987786267e+001dB,1.78942131592466e+002°)	(2.09495824502589e+001dB,1.77600170583526e+002°)	(-2.61932929020724e+000dB,-1.79742005394000e+002°)	(-5.23830032561584e+000dB,-1.79482930025733e+002°)	(-1.04765479832684e+001dB,-1.78942180918200e+002°)
1.65958690743756e+000	(2.61925302694563e+000dB,1.79735964140632e+002°)	(5.23818132410469e+000dB,1.79470804110750e+002°)	(1.04763296044462e+001dB,1.78917520277208e+002°)	(2.09490983254114e+001dB,1.77544383378493e+002°)	(-2.61928868940473e+000dB,-1.79736003011519e+002°)	(-5.23821969275873e+000dB,-1.79470899731539e+002°)	(-1.04763788120490e+001dB,-1.78917570751220e+002°)
1.69824365246174e+000	(2.61921051542883e+000dB,1.79729821545390e+002°)	(5.23809688510816e+000dB,1.79458492356482e+002°)	(1.04761524695191e+001dB,1.78892337805739e+002°)	(2.09485914475521e+001dB,1.77487304715495e+002°)	(-2.61924617804425e+000dB,-1.79729861321665e+002°)	(-5.23813526532905e+000dB,-1.79458590202623e+002°)	(-1.04762016802223e+001dB,-1.78892389454727e+002°)
1.73780082874937e+000	(2.61916600358419e+000dB,1.79723536412927e+002°)	(5.23800847269552e+000dB,1.79445894882033e+002°)	(1.04759669998413e+001dB,1.78866571025090e+002°)	(2.09480607504343e+001dB,1.77428905082144e+002°)	(-2.61920166636328e+000dB,-1.79723577115676e+002°)	(-5.23804686502764e+000dB,-1.79445995005223e+002°)	(-1.04760162137905e+001dB,-1.78866623876372e+002°)
