%	Date:	2016-12-19	Time:	16:47:50
%	Sampling frequency		[Hz]:	50000
%	Generator amplitude		[V]:	0.10000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	2.6926E+0	5.7149E+1	2.8956E-1	-7.3638E+1	-8.8548E+1	-6.0413E+1	-5.1290E+1
1.0798E+1	3.0699E+0	5.4507E+1	2.4023E-2	-7.3245E+1	-9.4100E+1	-9.2127E+1	-8.0299E+1
1.1660E+1	3.4244E+0	5.1909E+1	5.8357E-2	-7.4789E+1	-7.3117E+1	-6.6345E+1	-7.5757E+1
1.2590E+1	3.7548E+0	4.9348E+1	2.6083E-1	-7.3558E+1	-6.2013E+1	-5.2682E+1	-6.1321E+1
1.3595E+1	4.0616E+0	4.6834E+1	3.5096E-2	-7.3615E+1	-7.9392E+1	-7.2140E+1	-8.1500E+1
1.4680E+1	4.3491E+0	4.4371E+1	1.9428E-2	-7.4497E+1	-9.7000E+1	-8.7034E+1	-1.0252E+2
1.5851E+1	4.6114E+0	4.1969E+1	1.5949E-1	-6.6194E+1	-5.6928E+1	-6.5629E+1	-8.8418E+1
1.7116E+1	4.8526E+0	3.9633E+1	2.1368E-1	-6.1593E+1	-5.4656E+1	-6.3480E+1	-9.0830E+1
1.8482E+1	5.0753E+0	3.7359E+1	3.6826E-2	-8.2330E+1	-6.9800E+1	-7.6080E+1	-9.3987E+1
1.9957E+1	5.2748E+0	3.5165E+1	4.0477E-2	-7.4239E+1	-8.4844E+1	-8.6056E+1	-6.9194E+1
2.1550E+1	5.4556E+0	3.3045E+1	2.9603E-2	-7.1061E+1	-8.1664E+1	-9.3130E+1	-8.7002E+1
2.3269E+1	5.6191E+0	3.1024E+1	1.3813E-1	-5.7697E+1	-6.6960E+1	-8.1974E+1	-9.1368E+1
2.5126E+1	5.7673E+0	2.9013E+1	1.8208E-1	-5.5539E+1	-6.3995E+1	-6.9193E+1	-8.5124E+1
2.7131E+1	5.8988E+0	2.7177E+1	1.2385E-1	-5.8702E+1	-6.7510E+1	-8.1643E+1	-8.9053E+1
2.9296E+1	6.0216E+0	2.5366E+1	4.1911E-2	-7.4126E+1	-7.8964E+1	-9.0368E+1	-6.9088E+1
3.1634E+1	6.1273E+0	2.3664E+1	3.2845E-2	-7.3951E+1	-7.3525E+1	-8.9316E+1	-7.6568E+1
3.4159E+1	6.2198E+0	2.2035E+1	3.2160E-2	-7.5888E+1	-7.1289E+1	-8.5791E+1	-9.1591E+1
3.6884E+1	6.3032E+0	2.0499E+1	4.5148E-2	-7.6919E+1	-8.4608E+1	-6.7631E+1	-8.1260E+1
3.9828E+1	6.3761E+0	1.9059E+1	5.5606E-2	-7.5061E+1	-8.9460E+1	-7.5969E+1	-6.5993E+1
4.3006E+1	6.4417E+0	1.7702E+1	3.6874E-2	-6.8725E+1	-9.0914E+1	-9.3967E+1	-9.1959E+1
4.6438E+1	6.4947E+0	1.6415E+1	5.6034E-2	-6.5448E+1	-7.5691E+1	-8.7692E+1	-1.0198E+2
5.0144E+1	6.5319E+0	1.5131E+1	8.3476E-2	-6.9077E+1	-6.6906E+1	-6.5385E+1	-7.0978E+1
5.4145E+1	6.5911E+0	1.3868E+1	6.9540E-2	-6.3716E+1	-7.2983E+1	-8.0922E+1	-9.8090E+1
5.8466E+1	6.6113E+0	1.2838E+1	2.5289E-2	-7.3562E+1	-9.9257E+1	-8.1224E+1	-7.9118E+1
6.3132E+1	6.6436E+0	1.1800E+1	4.2106E-2	-7.7888E+1	-7.0143E+1	-7.1989E+1	-8.9939E+1
6.8170E+1	6.6750E+0	1.0805E+1	5.3771E-2	-7.3687E+1	-6.7253E+1	-1.0154E+2	-7.2362E+1
7.3610E+1	6.6904E+0	9.8929E+0	4.0936E-2	-7.0840E+1	-7.4959E+1	-7.5935E+1	-7.5569E+1
7.9484E+1	6.7061E+0	9.0311E+0	3.1955E-2	-7.3570E+1	-7.3239E+1	-8.3474E+1	-8.2054E+1
8.5827E+1	6.7167E+0	8.2123E+0	4.0556E-2	-7.3940E+1	-7.2910E+1	-7.1563E+1	-8.4989E+1
9.2676E+1	6.7238E+0	7.4395E+0	3.2697E-2	-7.1619E+1	-8.2774E+1	-8.2661E+1	-7.5634E+1
