%	Date:	2016-12-19	Time:	16:46:01
%	Sampling frequency		[Hz]:	50000
%	Generator amplitude		[V]:	1.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
2.7151E+2	-6.9558E+1	-1.9090E+0	5.2367E+0	-4.2899E+1	-3.5497E+1	-2.6516E+1	-3.7478E+1
2.9317E+2	-6.9589E+1	-1.0930E+0	5.7288E+0	-3.3935E+1	-3.8714E+1	-2.6737E+1	-3.2053E+1
3.1657E+2	-6.9591E+1	-1.5562E-1	5.4579E+0	-3.2537E+1	-3.6753E+1	-2.9251E+1	-2.9906E+1
3.4183E+2	-6.9421E+1	5.8139E-1	4.6589E+0	-3.7956E+1	-2.9481E+1	-3.7215E+1	-3.1589E+1
3.6911E+2	-6.9340E+1	9.7713E-1	6.0600E+0	-3.1740E+1	-2.8444E+1	-2.9417E+1	-3.3686E+1
3.9857E+2	-6.9828E+1	-1.7653E+0	5.1414E+0	-3.6216E+1	-2.8880E+1	-3.1674E+1	-3.3665E+1
4.3037E+2	-6.9628E+1	-1.8027E+0	6.4461E+0	-2.6612E+1	-2.9984E+1	-3.3001E+1	-3.3290E+1
4.6472E+2	-6.9666E+1	-4.0593E+0	6.1002E+0	-2.9254E+1	-2.7714E+1	-3.6536E+1	-3.2084E+1
5.0180E+2	-6.9566E+1	-3.2751E+0	6.1331E+0	-2.7316E+1	-2.9205E+1	-3.6782E+1	-3.3047E+1
5.4184E+2	-6.9613E+1	-3.4846E+0	4.7962E+0	-3.5764E+1	-2.9820E+1	-3.0069E+1	-5.0648E+1
5.8508E+2	-6.9651E+1	-1.2610E+0	4.8781E+0	-2.8528E+1	-3.7383E+1	-3.7818E+1	-3.2019E+1
6.3177E+2	-6.9616E+1	-5.0228E+0	7.2241E+0	-3.0029E+1	-2.6270E+1	-2.7794E+1	-3.6934E+1
6.8219E+2	-6.9674E+1	-4.3886E+0	5.1407E+0	-3.9903E+1	-2.8150E+1	-5.6513E+1	-2.9969E+1
7.3663E+2	-7.0022E+1	-4.6809E+0	6.9471E+0	-2.7431E+1	-3.8273E+1	-2.8745E+1	-2.8137E+1
7.9541E+2	-6.9549E+1	-3.8827E+0	5.3680E+0	-3.4239E+1	-4.0924E+1	-2.9446E+1	-2.8901E+1
8.5889E+2	-6.9646E+1	-7.3371E+0	4.4618E+0	-3.7416E+1	-4.3849E+1	-3.2087E+1	-2.9394E+1
9.2743E+2	-6.9805E+1	-4.9735E+0	4.4526E+0	-3.1671E+1	-3.8444E+1	-4.1582E+1	-2.9628E+1
1.0014E+3	-6.9773E+1	-6.3063E+0	5.7131E+0	-2.8156E+1	-3.2398E+1	-2.9824E+1	-3.9290E+1
1.0814E+3	-6.9935E+1	-6.8984E+0	3.6582E+0	-3.0986E+1	-3.3600E+1	-4.3668E+1	-4.2090E+1
1.1676E+3	-6.9622E+1	-8.5459E+0	6.2056E+0	-2.9707E+1	-3.0851E+1	-2.7878E+1	-3.4829E+1
1.2608E+3	-6.9536E+1	-9.6478E+0	5.5361E+0	-3.4393E+1	-2.8885E+1	-4.7490E+1	-2.8567E+1
1.3614E+3	-6.9726E+1	-9.0490E+0	4.4739E+0	-3.2939E+1	-2.8907E+1	-4.8477E+1	-3.7145E+1
1.4701E+3	-6.9882E+1	-1.0801E+1	3.6330E+0	-6.4975E+1	-3.0511E+1	-3.7716E+1	-3.5827E+1
1.5874E+3	-6.9552E+1	-1.0218E+1	3.9946E+0	-3.5226E+1	-4.6456E+1	-2.9796E+1	-3.6481E+1
1.7141E+3	-6.9779E+1	-1.0347E+1	4.0245E+0	-3.8956E+1	-3.1954E+1	-3.2008E+1	-3.6478E+1
1.8509E+3	-6.9487E+1	-1.3242E+1	6.3396E+0	-3.0629E+1	-2.9492E+1	-3.1223E+1	-2.8945E+1
1.9986E+3	-6.9831E+1	-1.4634E+1	7.0277E+0	-2.9421E+1	-3.8968E+1	-3.1536E+1	-2.5276E+1
2.1581E+3	-6.9666E+1	-1.7451E+1	6.3587E+0	-3.1005E+1	-3.1143E+1	-4.3940E+1	-2.6125E+1
