%	Date:	2016-12-19	Time:	16:45:00
%	Sampling frequency		[Hz]:	50000
%	Generator amplitude		[V]:	1.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	-4.4964E+1	5.1177E+1	3.0914E-1	-5.1743E+1	-6.0928E+1	-5.7630E+1	-6.4833E+1
1.0798E+1	-4.4595E+1	4.8992E+1	2.5869E-1	-5.1833E+1	-7.0869E+1	-7.4247E+1	-7.8033E+1
1.1660E+1	-4.4258E+1	4.6789E+1	2.8427E-1	-5.1779E+1	-6.6531E+1	-6.7753E+1	-5.9778E+1
1.2590E+1	-4.3928E+1	4.4627E+1	4.3259E-1	-5.1770E+1	-5.3498E+1	-5.4795E+1	-5.3689E+1
1.3595E+1	-4.3632E+1	4.2414E+1	2.2855E-1	-5.3704E+1	-6.2204E+1	-7.2107E+1	-6.5262E+1
1.4680E+1	-4.3352E+1	4.0297E+1	2.2838E-1	-5.2985E+1	-7.1558E+1	-6.9614E+1	-8.1123E+1
1.5851E+1	-4.3100E+1	3.8204E+1	2.4684E-1	-5.4316E+1	-5.9292E+1	-6.0355E+1	-6.5346E+1
1.7116E+1	-4.2858E+1	3.6129E+1	2.7668E-1	-5.2011E+1	-6.3172E+1	-6.1265E+1	-6.8761E+1
1.8482E+1	-4.2649E+1	3.4122E+1	2.5241E-1	-5.2384E+1	-6.9534E+1	-6.4168E+1	-6.9918E+1
1.9957E+1	-4.2452E+1	3.2196E+1	2.1800E-1	-5.4070E+1	-7.0659E+1	-6.9393E+1	-6.1978E+1
2.1550E+1	-4.2263E+1	3.0313E+1	2.6346E-1	-5.1869E+1	-6.6427E+1	-7.1929E+1	-6.8320E+1
2.3269E+1	-4.2097E+1	2.8495E+1	2.4069E-1	-5.3447E+1	-6.0943E+1	-6.3784E+1	-7.3124E+1
2.5126E+1	-4.1972E+1	2.6715E+1	2.6674E-1	-5.3937E+1	-5.6164E+1	-6.5018E+1	-6.4664E+1
2.7131E+1	-4.1823E+1	2.5088E+1	3.1686E-1	-5.0320E+1	-6.4102E+1	-7.7013E+1	-6.4659E+1
2.9296E+1	-4.1712E+1	2.3385E+1	2.8284E-1	-5.1739E+1	-6.1123E+1	-7.4285E+1	-6.3097E+1
3.1634E+1	-4.1606E+1	2.1856E+1	2.3494E-1	-5.3071E+1	-6.5831E+1	-6.6758E+1	-6.9302E+1
3.4159E+1	-4.1513E+1	2.0329E+1	2.3305E-1	-5.2909E+1	-6.9225E+1	-7.0298E+1	-6.9983E+1
3.6884E+1	-4.1424E+1	1.9002E+1	2.0168E-1	-5.5015E+1	-6.3389E+1	-6.9551E+1	-6.4600E+1
3.9828E+1	-4.1366E+1	1.7626E+1	2.0019E-1	-5.4846E+1	-6.5886E+1	-6.3288E+1	-8.3749E+1
4.3006E+1	-4.1306E+1	1.6365E+1	2.4968E-1	-5.3596E+1	-6.5470E+1	-6.1312E+1	-6.0747E+1
4.6438E+1	-4.1249E+1	1.5156E+1	2.0531E-1	-5.4298E+1	-7.7258E+1	-6.7364E+1	-6.5291E+1
5.0144E+1	-4.1189E+1	1.3990E+1	2.7283E-1	-5.1874E+1	-6.9276E+1	-6.6243E+1	-6.2273E+1
5.4145E+1	-4.1148E+1	1.2936E+1	3.5672E-1	-4.9811E+1	-6.2067E+1	-5.7838E+1	-7.8582E+1
5.8466E+1	-4.1125E+1	1.1979E+1	3.7150E-1	-4.9381E+1	-6.1501E+1	-6.1513E+1	-6.0674E+1
6.3132E+1	-4.1091E+1	1.0950E+1	3.0512E-1	-5.1325E+1	-6.0281E+1	-6.4116E+1	-6.2119E+1
6.8170E+1	-4.1061E+1	1.0102E+1	2.4184E-1	-5.3353E+1	-6.3404E+1	-6.7182E+1	-6.2363E+1
7.3610E+1	-4.1039E+1	9.2384E+0	3.0333E-1	-5.1037E+1	-6.1773E+1	-7.2400E+1	-6.2205E+1
7.9484E+1	-4.1023E+1	8.4476E+0	2.9017E-1	-5.1851E+1	-5.9334E+1	-6.4093E+1	-6.4748E+1
8.5827E+1	-4.1015E+1	7.7125E+0	3.2072E-1	-5.0481E+1	-6.2000E+1	-6.7776E+1	-6.2698E+1
9.2676E+1	-4.0999E+1	6.9924E+0	2.3998E-1	-5.2644E+1	-7.0903E+1	-6.6948E+1	-7.4510E+1
1.0007E+2	-4.0987E+1	6.3420E+0	2.8525E-1	-5.1836E+1	-6.4116E+1	-5.9694E+1	-6.9059E+1
1.0806E+2	-4.0993E+1	5.6683E+0	2.5747E-1	-5.4921E+1	-5.6211E+1	-6.5009E+1	-6.1548E+1
1.1668E+2	-4.0998E+1	5.0907E+0	2.2417E-1	-5.3983E+1	-6.2007E+1	-6.6034E+1	-6.8250E+1
1.2599E+2	-4.1002E+1	4.5564E+0	1.9879E-1	-5.4498E+1	-7.5603E+1	-7.1034E+1	-6.5292E+1
1.3605E+2	-4.1010E+1	3.9582E+0	2.7822E-1	-5.3018E+1	-6.3061E+1	-6.0891E+1	-5.8413E+1
1.4690E+2	-4.1013E+1	3.5712E+0	3.9340E-1	-4.8882E+1	-5.6614E+1	-7.0484E+1	-6.5688E+1
1.5863E+2	-4.1029E+1	2.9965E+0	2.8881E-1	-5.4456E+1	-6.1848E+1	-5.7920E+1	-5.6040E+1
1.7128E+2	-4.1039E+1	2.6971E+0	1.9282E-1	-5.9297E+1	-6.5994E+1	-5.7919E+1	-6.1701E+1
1.8495E+2	-4.1047E+1	2.2830E+0	3.1383E-1	-5.3420E+1	-5.8732E+1	-5.4275E+1	-6.6499E+1
1.9971E+2	-4.1069E+1	1.9641E+0	2.1578E-1	-5.5653E+1	-5.7422E+1	-7.3519E+1	-7.0918E+1
2.1565E+2	-4.1089E+1	1.6456E+0	2.5882E-1	-5.7555E+1	-5.6981E+1	-7.2701E+1	-5.5398E+1
2.3286E+2	-4.1110E+1	1.2866E+0	4.2949E-1	-4.7646E+1	-6.4748E+1	-6.2396E+1	-6.4683E+1
2.5144E+2	-4.1134E+1	1.0799E+0	2.9243E-1	-5.6142E+1	-5.6401E+1	-5.4861E+1	-6.2485E+1
2.7151E+2	-4.1153E+1	8.7457E-1	3.2927E-1	-5.1396E+1	-5.6209E+1	-6.1484E+1	-6.3138E+1
2.9317E+2	-4.1175E+1	6.9280E-1	3.2700E-1	-4.9876E+1	-6.4773E+1	-7.8611E+1	-7.2435E+1
3.1657E+2	-4.1183E+1	5.1002E-1	3.7461E-1	-5.0009E+1	-5.7184E+1	-5.7213E+1	-6.6152E+1
3.4183E+2	-4.1200E+1	3.8333E-1	2.9062E-1	-5.2390E+1	-6.5868E+1	-6.3585E+1	-5.7029E+1
3.6911E+2	-4.1236E+1	2.8078E-1	2.1215E-1	-5.6365E+1	-5.9018E+1	-6.9389E+1	-6.0849E+1
3.9857E+2	-4.1251E+1	2.0308E-1	2.9476E-1	-5.2354E+1	-6.3099E+1	-5.6560E+1	-6.7562E+1
