%	Date:	2016-12-19	Time:	16:48:43
%	Sampling frequency		[Hz]:	50000
%	Generator amplitude		[V]:	0.10000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	-1.3786E+1	5.1970E+1	4.1270E-1	-7.4446E+1	-7.4316E+1	-5.9228E+1	-4.8023E+1
1.0798E+1	-1.3418E+1	4.9725E+1	3.3009E-2	-8.4065E+1	-7.4723E+1	-7.9145E+1	-7.2280E+1
1.1660E+1	-1.3076E+1	4.7438E+1	7.9930E-2	-7.1851E+1	-7.2904E+1	-6.3202E+1	-7.3571E+1
1.2590E+1	-1.2756E+1	4.5192E+1	3.8376E-1	-8.1958E+1	-5.9521E+1	-4.9385E+1	-5.6816E+1
1.3595E+1	-1.2452E+1	4.2977E+1	4.8076E-2	-7.3248E+1	-7.6344E+1	-6.8174E+1	-8.0795E+1
1.4680E+1	-1.2175E+1	4.0797E+1	3.0370E-2	-7.2691E+1	-7.5853E+1	-8.3894E+1	-8.0781E+1
1.5851E+1	-1.1917E+1	3.8641E+1	2.4033E-1	-6.5168E+1	-5.3172E+1	-6.2286E+1	-7.1999E+1
1.7116E+1	-1.1685E+1	3.6538E+1	2.9435E-1	-5.9713E+1	-5.1538E+1	-6.2627E+1	-7.5044E+1
1.8482E+1	-1.1469E+1	3.4503E+1	6.5235E-2	-7.6506E+1	-6.5503E+1	-7.2263E+1	-7.2066E+1
1.9957E+1	-1.1271E+1	3.2511E+1	1.0001E-1	-8.9517E+1	-7.1968E+1	-8.0078E+1	-6.0335E+1
2.1550E+1	-1.1093E+1	3.0562E+1	4.0359E-2	-6.8471E+1	-7.8990E+1	-8.2668E+1	-8.5769E+1
2.3269E+1	-1.0934E+1	2.8694E+1	2.0769E-1	-5.4038E+1	-6.5210E+1	-7.1911E+1	-8.8247E+1
2.5126E+1	-1.0777E+1	2.6879E+1	2.9810E-1	-5.1828E+1	-6.0753E+1	-5.8307E+1	-8.3019E+1
2.7131E+1	-1.0658E+1	2.5156E+1	1.9789E-1	-5.4419E+1	-6.5562E+1	-7.8393E+1	-8.0442E+1
2.9296E+1	-1.0537E+1	2.3523E+1	6.4116E-2	-6.9307E+1	-7.2716E+1	-8.3384E+1	-6.6277E+1
3.1634E+1	-1.0433E+1	2.1963E+1	6.8728E-2	-7.2525E+1	-6.4121E+1	-7.8682E+1	-7.8037E+1
3.4159E+1	-1.0342E+1	2.0453E+1	8.9538E-2	-7.5591E+1	-6.1444E+1	-7.3657E+1	-7.8593E+1
3.6884E+1	-1.0262E+1	1.9032E+1	6.8889E-2	-7.4533E+1	-7.0089E+1	-6.6227E+1	-6.9873E+1
