%	Date:	2016-12-19	Time:	16:50:26
%	Sampling frequency		[Hz]:	50000
%	Generator amplitude		[V]:	0.10000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	1.2727E+1	7.0430E+1	4.5512E-1	-5.4128E+1	-5.3254E+1	-6.0574E+1	-4.9491E+1
1.0798E+1	1.3190E+1	6.6878E+1	3.3831E-1	-5.4498E+1	-5.1613E+1	-6.5002E+1	-6.1662E+1
1.1660E+1	1.3618E+1	6.3401E+1	3.5723E-1	-5.5231E+1	-5.0465E+1	-7.6619E+1	-6.1215E+1
1.2590E+1	1.4012E+1	6.0013E+1	4.5170E-1	-5.5959E+1	-4.9743E+1	-5.1645E+1	-6.3871E+1
1.3595E+1	1.4374E+1	5.6718E+1	3.7273E-1	-5.7013E+1	-4.9515E+1	-7.1405E+1	-6.1868E+1
1.4680E+1	1.4705E+1	5.3528E+1	3.6913E-1	-5.7764E+1	-4.9441E+1	-7.6143E+1	-6.2557E+1
1.5851E+1	1.5006E+1	5.0447E+1	2.4454E-1	-5.8759E+1	-5.3891E+1	-7.2023E+1	-6.2973E+1
1.7116E+1	1.5279E+1	4.7477E+1	3.3266E-1	-5.8156E+1	-5.0417E+1	-8.0817E+1	-6.3519E+1
1.8482E+1	1.5527E+1	4.4626E+1	3.5284E-1	-6.0196E+1	-4.9574E+1	-7.4540E+1	-6.3691E+1
1.9957E+1	1.5750E+1	4.1893E+1	3.3382E-1	-5.9865E+1	-5.0254E+1	-7.5472E+1	-6.1862E+1
2.1550E+1	1.5950E+1	3.9279E+1	3.1671E-1	-6.1310E+1	-5.0566E+1	-7.6755E+1	-6.3088E+1
2.3269E+1	1.6131E+1	3.6782E+1	3.1245E-1	-5.9433E+1	-5.0840E+1	-7.9370E+1	-6.4317E+1
2.5126E+1	1.6293E+1	3.4420E+1	3.2515E-1	-5.6382E+1	-5.1144E+1	-6.7245E+1	-6.3987E+1
2.7131E+1	1.6435E+1	3.2158E+1	2.7370E-1	-6.4029E+1	-5.1740E+1	-7.4382E+1	-6.4434E+1
2.9296E+1	1.6563E+1	3.0027E+1	2.4949E-1	-6.1177E+1	-5.2732E+1	-7.7288E+1	-6.9498E+1
3.1634E+1	1.6676E+1	2.8004E+1	2.2389E-1	-6.0515E+1	-5.4393E+1	-7.5628E+1	-6.3368E+1
3.4159E+1	1.6777E+1	2.6095E+1	1.9450E-1	-6.0325E+1	-5.6060E+1	-7.5289E+1	-6.4583E+1
3.6884E+1	1.6865E+1	2.4284E+1	2.1430E-1	-6.0358E+1	-5.4844E+1	-7.2853E+1	-6.4660E+1
