%	Date:	2016-12-19	Time:	16:23:45
%	Sampling frequency		[Hz]:	50000
%	Generator amplitude		[V]:	1.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	-7.0192E+1	3.0829E+1	5.0222E+0	-3.4538E+1	-4.9342E+1	-4.0474E+1	-2.6842E+1
1.0798E+1	-7.0036E+1	2.9157E+1	1.8361E+0	-3.7658E+1	-4.0339E+1	-5.2175E+1	-4.1734E+1
1.1660E+1	-6.9760E+1	2.6366E+1	1.8193E+0	-3.9160E+1	-4.0850E+1	-5.1023E+1	-3.9226E+1
1.2590E+1	-6.9704E+1	2.5556E+1	3.3273E+0	-3.6688E+1	-5.0035E+1	-3.0649E+1	-4.6655E+1
1.3595E+1	-6.9614E+1	2.3668E+1	1.7827E+0	-4.8840E+1	-4.1788E+1	-4.0590E+1	-3.8205E+1
1.4680E+1	-6.9444E+1	2.1969E+1	1.4982E+0	-4.7661E+1	-4.0321E+1	-4.2378E+1	-4.2471E+1
1.5851E+1	-6.9351E+1	2.2714E+1	3.9342E+0	-3.9316E+1	-2.8592E+1	-4.7105E+1	-4.5462E+1
1.7116E+1	-6.9192E+1	2.0163E+1	5.4991E+0	-3.5949E+1	-2.5835E+1	-4.6250E+1	-3.8630E+1
1.8482E+1	-6.9224E+1	1.8487E+1	2.0765E+0	-3.5058E+1	-4.3371E+1	-4.7711E+1	-4.2500E+1
1.9957E+1	-6.9095E+1	1.6675E+1	1.9643E+0	-4.1981E+1	-4.2801E+1	-3.8032E+1	-3.9482E+1
2.1550E+1	-6.9065E+1	1.6522E+1	1.7530E+0	-4.4316E+1	-4.0954E+1	-3.7543E+1	-4.8563E+1
2.3269E+1	-6.9093E+1	1.5074E+1	3.0964E+0	-3.2792E+1	-5.1709E+1	-3.9412E+1	-3.5062E+1
2.5126E+1	-6.8969E+1	1.5102E+1	4.5761E+0	-2.7311E+1	-4.4263E+1	-3.8811E+1	-4.1678E+1
2.7131E+1	-6.8905E+1	1.3590E+1	4.1053E+0	-2.8851E+1	-3.7697E+1	-4.1576E+1	-3.8449E+1
2.9296E+1	-6.8940E+1	1.3439E+1	3.0793E+0	-4.1515E+1	-3.7949E+1	-3.1478E+1	-5.2341E+1
3.1634E+1	-6.8802E+1	1.2695E+1	2.4648E+0	-3.4755E+1	-5.0602E+1	-4.0238E+1	-3.7707E+1
3.4159E+1	-6.8863E+1	1.0942E+1	1.8363E+0	-4.1702E+1	-4.7489E+1	-3.6811E+1	-4.3630E+1
3.6884E+1	-6.8830E+1	1.0606E+1	2.7729E+0	-3.4128E+1	-4.2888E+1	-3.8331E+1	-3.7351E+1
3.9828E+1	-6.8702E+1	9.9793E+0	3.2512E+0	-3.5240E+1	-3.7937E+1	-3.5062E+1	-3.5448E+1
4.3006E+1	-6.8954E+1	9.5336E+0	2.5737E+0	-3.8770E+1	-3.6943E+1	-4.5487E+1	-3.5240E+1
4.6438E+1	-6.8897E+1	7.4837E+0	2.7118E+0	-3.3954E+1	-4.4804E+1	-3.5467E+1	-4.7972E+1
5.0144E+1	-6.8755E+1	6.4675E+0	2.7436E+0	-3.6518E+1	-3.3553E+1	-5.8731E+1	-4.0593E+1
5.4145E+1	-6.8391E+1	1.0133E+1	3.5038E+0	-4.0010E+1	-3.6199E+1	-3.0625E+1	-4.6589E+1
5.8466E+1	-6.8449E+1	5.1928E+0	3.4724E+0	-3.7333E+1	-3.2464E+1	-3.5233E+1	-3.8117E+1
6.3132E+1	-6.8710E+1	5.9214E+0	3.7408E+0	-3.1313E+1	-3.7037E+1	-3.3455E+1	-4.9565E+1
6.8170E+1	-6.8319E+1	6.6035E+0	1.8308E+0	-3.5742E+1	-5.2187E+1	-4.3596E+1	-4.7236E+1
7.3610E+1	-6.8371E+1	6.4235E+0	4.1603E+0	-3.9236E+1	-2.8492E+1	-3.8352E+1	-4.2994E+1
7.9484E+1	-6.8289E+1	6.3432E+0	3.7421E+0	-3.7812E+1	-4.0128E+1	-3.4811E+1	-3.0929E+1
8.5827E+1	-6.8588E+1	5.0305E+0	2.8834E+0	-3.9342E+1	-3.9620E+1	-3.8133E+1	-3.3447E+1
9.2676E+1	-6.8235E+1	5.4189E+0	2.9055E+0	-3.8447E+1	-4.1194E+1	-3.9616E+1	-3.2873E+1
1.0007E+2	-6.8367E+1	4.5124E+0	4.3430E+0	-3.0834E+1	-3.3036E+1	-3.2972E+1	-4.2268E+1
1.0806E+2	-6.8384E+1	5.1970E+0	6.2179E+0	-3.0954E+1	-3.1476E+1	-2.9072E+1	-2.9534E+1
1.1668E+2	-6.8278E+1	4.3253E+0	2.0464E+0	-3.8636E+1	-3.6636E+1	-4.3270E+1	-4.7493E+1
1.2599E+2	-6.8328E+1	3.7838E+0	3.0252E+0	-3.6507E+1	-3.8832E+1	-3.3335E+1	-4.0137E+1
1.3605E+2	-6.8147E+1	4.7872E+0	3.2975E+0	-3.4717E+1	-4.2126E+1	-3.1717E+1	-4.8222E+1
1.4690E+2	-6.8066E+1	3.5783E+0	3.4893E+0	-3.5707E+1	-3.2654E+1	-3.4007E+1	-5.0624E+1
1.5863E+2	-6.8207E+1	2.3638E+0	4.3914E+0	-3.4557E+1	-2.9212E+1	-3.5492E+1	-4.0139E+1
1.7128E+2	-6.8290E+1	3.9731E+0	1.2667E+0	-4.8201E+1	-3.8800E+1	-5.6050E+1	-4.9579E+1
1.8495E+2	-6.8216E+1	2.6235E+0	5.1171E+0	-3.4673E+1	-3.8700E+1	-3.0319E+1	-2.9160E+1
1.9971E+2	-6.8108E+1	7.8275E-1	4.9383E+0	-3.2912E+1	-3.6159E+1	-3.4954E+1	-2.8647E+1
2.1565E+2	-6.8105E+1	1.7333E+0	4.7147E+0	-3.3767E+1	-4.0560E+1	-3.2597E+1	-2.9337E+1
2.3286E+2	-6.8352E+1	5.6068E-1	5.2109E+0	-2.9353E+1	-3.0316E+1	-3.2705E+1	-4.0530E+1
2.5144E+2	-6.8113E+1	2.5397E+0	3.5508E+0	-3.3672E+1	-3.1318E+1	-4.1452E+1	-4.6656E+1
2.7151E+2	-6.8078E+1	2.3612E+0	5.8981E+0	-5.0014E+1	-4.3205E+1	-2.6630E+1	-2.9038E+1
2.9317E+2	-6.8137E+1	-3.8854E-1	4.4862E+0	-3.3980E+1	-3.9248E+1	-3.8824E+1	-2.8656E+1
3.1657E+2	-6.8228E+1	5.4043E-1	5.2432E+0	-2.8743E+1	-3.6149E+1	-3.2918E+1	-3.1804E+1
3.4183E+2	-6.7801E+1	-1.9289E-1	6.1474E+0	-3.2737E+1	-4.0649E+1	-2.5041E+1	-4.5561E+1
3.6911E+2	-6.8108E+1	1.8704E-1	3.7381E+0	-3.4950E+1	-3.2563E+1	-3.9623E+1	-3.3829E+1
3.9857E+2	-6.8224E+1	-2.8849E+0	4.3028E+0	-3.5774E+1	-4.3287E+1	-3.1829E+1	-3.0538E+1
4.3037E+2	-6.8348E+1	1.1183E+0	2.6629E+0	-3.5007E+1	-4.0006E+1	-3.7414E+1	-3.9501E+1
4.6472E+2	-6.7881E+1	-1.9583E+0	2.5896E+0	-4.0301E+1	-3.3873E+1	-3.8806E+1	-4.4467E+1
5.0180E+2	-6.8115E+1	-3.2497E+0	4.9306E+0	-3.7344E+1	-3.6195E+1	-3.1212E+1	-2.9031E+1
5.4184E+2	-6.8138E+1	-1.2438E+0	4.6349E+0	-3.5830E+1	-3.4917E+1	-3.1676E+1	-3.0531E+1
5.8508E+2	-6.8029E+1	-1.7435E+0	2.6120E+0	-3.8409E+1	-3.3919E+1	-4.4103E+1	-4.0289E+1
6.3177E+2	-6.8002E+1	-2.1348E+0	2.6966E+0	-3.7161E+1	-5.1795E+1	-3.4664E+1	-3.7289E+1
6.8219E+2	-6.8012E+1	-2.3329E+0	2.7872E+0	-3.4868E+1	-3.8491E+1	-3.6629E+1	-4.0362E+1
7.3663E+2	-6.8148E+1	-2.7638E+0	3.0547E+0	-3.3934E+1	-3.5916E+1	-3.5649E+1	-6.3145E+1
7.9541E+2	-6.8044E+1	-3.8653E+0	4.1268E+0	-3.2180E+1	-3.3329E+1	-3.8503E+1	-3.3081E+1
8.5889E+2	-6.8185E+1	-4.2949E+0	2.8746E+0	-4.3719E+1	-3.5164E+1	-3.3472E+1	-4.5274E+1
9.2743E+2	-6.8099E+1	-4.3788E+0	4.4022E+0	-2.9996E+1	-3.1202E+1	-4.1476E+1	-3.9687E+1
1.0014E+3	-6.8196E+1	-6.5726E+0	2.7498E+0	-3.9032E+1	-3.5399E+1	-3.4705E+1	-5.3671E+1
1.0814E+3	-6.8059E+1	-4.8633E+0	3.6285E+0	-3.0758E+1	-4.1301E+1	-3.4612E+1	-4.2462E+1
1.1676E+3	-6.8188E+1	-5.4430E+0	6.1685E+0	-2.6558E+1	-3.9758E+1	-2.9989E+1	-3.3117E+1
1.2608E+3	-6.8248E+1	-5.9073E+0	5.8320E+0	-3.6174E+1	-2.6561E+1	-3.8418E+1	-3.0923E+1
1.3614E+3	-6.8005E+1	-6.5419E+0	3.8021E+0	-4.1124E+1	-3.4202E+1	-3.2224E+1	-3.4098E+1
1.4701E+3	-6.8151E+1	-8.7340E+0	5.8082E+0	-2.8542E+1	-3.2770E+1	-2.8908E+1	-3.7957E+1
1.5874E+3	-6.8031E+1	-8.7500E+0	3.0567E+0	-4.0373E+1	-3.4618E+1	-3.3885E+1	-4.0534E+1
1.7141E+3	-6.8128E+1	-8.2143E+0	6.0510E+0	-2.7640E+1	-2.9211E+1	-3.4908E+1	-3.3798E+1
1.8509E+3	-6.8071E+1	-1.0806E+1	5.6212E+0	-3.3452E+1	-2.9761E+1	-4.8398E+1	-2.7859E+1
1.9986E+3	-6.8360E+1	-1.0950E+1	4.2961E+0	-3.2031E+1	-4.9337E+1	-3.5759E+1	-3.0259E+1
2.1581E+3	-6.7931E+1	-1.1471E+1	5.0175E+0	-3.0729E+1	-4.1949E+1	-3.2813E+1	-2.9646E+1
2.3303E+3	-6.8031E+1	-1.0289E+1	5.8842E+0	-2.9121E+1	-2.9588E+1	-3.0090E+1	-3.7986E+1
2.5162E+3	-6.8224E+1	-1.4193E+1	4.2807E+0	-3.3523E+1	-3.3259E+1	-3.9954E+1	-3.0889E+1
2.7170E+3	-6.8081E+1	-1.4421E+1	3.5625E+0	-3.7351E+1	-3.9401E+1	-3.7235E+1	-3.1072E+1
2.9338E+3	-6.7895E+1	-1.5372E+1	4.6034E+0	-4.3808E+1	-3.9118E+1	-4.9845E+1	-2.7112E+1
3.1680E+3	-6.8066E+1	-1.5302E+1	3.6379E+0	-3.0173E+1	-3.6790E+1	-4.9732E+1	-3.8465E+1
3.4208E+3	-6.7884E+1	-1.7659E+1	3.6506E+0	-3.4632E+1	-3.4587E+1	-3.5343E+1	-3.4577E+1
3.6938E+3	-6.8099E+1	-1.9006E+1	5.9437E+0	-4.5085E+1	-3.1964E+1	-2.9898E+1	-2.7348E+1
