%	Date:	2016-12-19	Time:	16:22:37
%	Sampling frequency		[Hz]:	50000
%	Generator amplitude		[V]:	1.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	-9.6074E+1	3.1407E+1	9.9801E+1	-1.9909E+1	-2.4618E+1	-1.7599E+1	-1.5484E-1
1.0798E+1	-9.4001E+1	2.5653E+1	3.1240E+1	-1.5872E+1	-1.5396E+1	-1.7824E+1	-1.5792E+1
1.1660E+1	-9.7572E+1	1.9864E+1	3.0249E+1	-1.5287E+1	-1.3096E+1	-1.9044E+1	-3.3779E+1
1.2590E+1	-9.3378E+1	2.2697E+1	8.1457E+1	-2.0570E+1	-5.0282E+1	-2.0966E+0	-1.4241E+1
1.3595E+1	-9.5126E+1	1.7567E+1	5.3636E+1	-1.0818E+1	-8.1273E+0	-2.1899E+1	-1.3519E+1
1.4680E+1	-9.5043E+1	3.2362E+1	3.3970E+1	-1.4831E+1	-1.3317E+1	-2.4530E+1	-1.4893E+1
1.5851E+1	-9.7392E+1	1.5475E+1	7.5143E+1	-1.8653E+1	-3.1653E+0	-1.5335E+1	-1.4061E+1
1.7116E+1	-9.4723E+1	2.7231E+1	9.1224E+1	-1.3247E+1	-1.6047E+0	-1.4634E+1	-1.2265E+1
1.8482E+1	-9.7584E+1	2.5017E+1	4.2906E+1	-1.5465E+1	-1.2451E+1	-1.1058E+1	-1.6896E+1
1.9957E+1	-9.4042E+1	2.3630E+1	4.9198E+1	-1.5351E+1	-9.4675E+0	-1.0790E+1	-1.7835E+1
2.1550E+1	-9.3594E+1	1.9466E+1	2.3096E+1	-1.7806E+1	-2.0712E+1	-1.6544E+1	-2.2129E+1
2.3269E+1	-9.3727E+1	4.0458E+1	6.4084E+1	-4.9497E+0	-1.3927E+1	-1.4001E+1	-1.9795E+1
2.5126E+1	-9.2184E+1	3.2716E+1	5.5484E+1	-6.7464E+0	-1.1322E+1	-2.6345E+1	-1.6936E+1
2.7131E+1	-9.1626E+1	3.0239E+1	3.6931E+1	-1.1889E+1	-1.8110E+1	-1.2747E+1	-2.5108E+1
2.9296E+1	-8.9869E+1	4.4243E+1	3.0353E+1	-1.2911E+1	-3.1312E+1	-1.9101E+1	-1.5539E+1
3.1634E+1	-9.3569E+1	3.1991E+1	6.7378E+1	-9.4352E+0	-6.3247E+0	-1.5920E+1	-1.0893E+1
3.4159E+1	-9.2047E+1	3.6500E+1	3.4191E+1	-1.2488E+1	-1.3126E+1	-2.5720E+1	-2.0388E+1
3.6884E+1	-9.1029E+1	4.1813E+1	2.7688E+1	-1.7313E+1	-2.0216E+1	-1.6076E+1	-1.6216E+1
3.9828E+1	-9.1157E+1	5.7050E+1	2.3030E+1	-2.1895E+1	-2.4248E+1	-1.4522E+1	-2.1243E+1
4.3006E+1	-9.2530E+1	4.4364E+1	3.2107E+1	-1.2748E+1	-1.7725E+1	-1.5142E+1	-2.6059E+1
4.6438E+1	-9.0827E+1	5.3894E+1	1.6445E+1	-2.5020E+1	-1.9205E+1	-2.2115E+1	-2.2407E+1
5.0144E+1	-9.4633E+1	4.7005E+1	7.7732E+1	-8.3209E+0	-2.2216E+1	-6.5005E+0	-6.4364E+0
5.4145E+1	-8.7307E+1	1.9588E+1	2.1013E+1	-2.0101E+1	-1.7921E+1	-2.5424E+1	-1.8131E+1
5.8466E+1	-9.4673E+1	3.7900E+1	3.9725E+1	-1.6004E+1	-1.0180E+1	-1.8781E+1	-1.6282E+1
6.3132E+1	-9.2165E+1	1.3815E+1	3.5421E+1	-2.4457E+1	-2.3002E+1	-1.2721E+1	-1.1977E+1
6.8170E+1	-8.7358E+1	3.0495E+1	1.2152E+1	-2.9568E+1	-2.5435E+1	-2.3342E+1	-2.2097E+1
7.3610E+1	-8.7568E+1	3.6963E+1	2.9611E+1	-1.6571E+1	-1.9473E+1	-1.4647E+1	-1.6975E+1
7.9484E+1	-8.6914E+1	3.0458E+1	4.6981E+1	-1.6954E+1	-1.1007E+1	-1.0533E+1	-1.4840E+1
