%	Date:	2016-12-19	Time:	16:25:14
%	Sampling frequency		[Hz]:	50000
%	Generator amplitude		[V]:	1.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	-4.1321E+1	3.1137E+1	3.6669E-1	-5.4353E+1	-7.2370E+1	-5.1389E+1	-5.6098E+1
1.0798E+1	-4.1164E+1	2.9240E+1	2.5826E-1	-5.1978E+1	-7.6977E+1	-6.7498E+1	-6.8863E+1
1.1660E+1	-4.1025E+1	2.7411E+1	2.3818E-1	-5.3683E+1	-6.2199E+1	-7.1477E+1	-6.1447E+1
1.2590E+1	-4.0903E+1	2.5695E+1	5.0046E-1	-5.3014E+1	-5.1513E+1	-5.4223E+1	-5.0358E+1
1.3595E+1	-4.0789E+1	2.4006E+1	2.4640E-1	-5.2679E+1	-6.4790E+1	-6.5197E+1	-7.3861E+1
1.4680E+1	-4.0686E+1	2.2445E+1	2.3087E-1	-5.2895E+1	-7.2249E+1	-6.9096E+1	-7.8956E+1
1.5851E+1	-4.0606E+1	2.0939E+1	4.4364E-1	-4.8407E+1	-5.8811E+1	-5.4065E+1	-7.8741E+1
1.7116E+1	-4.0525E+1	1.9560E+1	4.3399E-1	-4.8842E+1	-5.5563E+1	-5.5433E+1	-6.8592E+1
1.8482E+1	-4.0454E+1	1.8214E+1	1.8647E-1	-5.4919E+1	-7.3291E+1	-7.3490E+1	-6.7870E+1
1.9957E+1	-4.0397E+1	1.6980E+1	1.8216E-1	-5.4955E+1	-7.4384E+1	-7.5470E+1	-7.2364E+1
2.1550E+1	-4.0334E+1	1.5789E+1	1.8677E-1	-5.5994E+1	-6.5555E+1	-7.3423E+1	-6.1875E+1
2.3269E+1	-4.0293E+1	1.4583E+1	2.1643E-1	-5.9741E+1	-5.5026E+1	-6.4512E+1	-6.9021E+1
2.5126E+1	-4.0225E+1	1.3573E+1	3.8002E-1	-5.1491E+1	-5.1451E+1	-7.1262E+1	-6.9451E+1
2.7131E+1	-4.0210E+1	1.2547E+1	2.0740E-1	-6.0534E+1	-5.4944E+1	-6.7766E+1	-7.3291E+1
2.9296E+1	-4.0171E+1	1.1657E+1	1.5574E-1	-5.7709E+1	-6.2808E+1	-6.8843E+1	-7.1178E+1
3.1634E+1	-4.0145E+1	1.0827E+1	1.3889E-1	-5.8837E+1	-6.5229E+1	-7.6410E+1	-6.5241E+1
3.4159E+1	-4.0118E+1	1.0003E+1	2.1217E-1	-5.4266E+1	-7.7004E+1	-6.1758E+1	-7.1562E+1
3.6884E+1	-4.0093E+1	9.2317E+0	1.8126E-1	-5.6139E+1	-6.1802E+1	-6.8115E+1	-7.4242E+1
3.9828E+1	-4.0075E+1	8.5349E+0	2.1004E-1	-5.4619E+1	-6.3653E+1	-6.3365E+1	-7.1738E+1
4.3006E+1	-4.0051E+1	7.7628E+0	2.9211E-1	-5.1026E+1	-6.6676E+1	-6.5783E+1	-6.8041E+1
4.6438E+1	-4.0042E+1	7.0991E+0	3.3950E-1	-4.9581E+1	-6.5140E+1	-6.7377E+1	-7.6277E+1
5.0144E+1	-4.0028E+1	6.6003E+0	2.3598E-1	-5.3471E+1	-6.7267E+1	-6.7869E+1	-6.1424E+1
5.4145E+1	-4.0038E+1	5.9512E+0	2.2193E-1	-5.3480E+1	-6.9927E+1	-6.6457E+1	-6.9579E+1
