%	Date:	2016-12-19	Time:	16:27:38
%	Sampling frequency		[Hz]:	50000
%	Generator amplitude		[V]:	1.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
2.7151E+2	-9.3046E+0	-4.9456E-1	1.5512E-1	-5.6194E+1	-8.4784E+1	-9.2419E+1	-9.2770E+1
2.9317E+2	-9.3272E+0	-5.6396E-1	1.5126E-1	-5.6412E+1	-8.6645E+1	-9.1703E+1	-9.2298E+1
3.1657E+2	-9.3474E+0	-6.1433E-1	1.4904E-1	-5.6540E+1	-9.2485E+1	-8.8774E+1	-8.9603E+1
3.4183E+2	-9.3686E+0	-6.4552E-1	1.4778E-1	-5.6612E+1	-8.9961E+1	-9.2266E+1	-9.2451E+1
3.6911E+2	-9.3877E+0	-6.6714E-1	1.5190E-1	-5.6371E+1	-9.6601E+1	-9.8380E+1	-9.0151E+1
3.9857E+2	-9.4042E+0	-6.7126E-1	1.4871E-1	-5.6564E+1	-8.5120E+1	-8.8241E+1	-8.9138E+1
4.3037E+2	-9.4216E+0	-6.6465E-1	1.4975E-1	-5.6494E+1	-9.6752E+1	-9.1959E+1	-1.0503E+2
4.6472E+2	-9.4368E+0	-6.4888E-1	1.5310E-1	-5.6308E+1	-8.9619E+1	-8.6657E+1	-9.1877E+1
5.0180E+2	-9.4503E+0	-6.2494E-1	1.4962E-1	-5.6509E+1	-8.5926E+1	-9.0286E+1	-9.0199E+1
5.4184E+2	-9.4628E+0	-5.9201E-1	1.4837E-1	-5.6576E+1	-9.2286E+1	-9.5065E+1	-9.3449E+1
5.8508E+2	-9.4734E+0	-5.5571E-1	1.4705E-1	-5.6656E+1	-8.8677E+1	-9.2541E+1	-9.2592E+1
6.3177E+2	-9.4831E+0	-5.1440E-1	1.4828E-1	-5.6587E+1	-8.5541E+1	-9.2175E+1	-9.1290E+1
6.8219E+2	-9.4912E+0	-4.6886E-1	1.4611E-1	-5.6716E+1	-8.3618E+1	-9.3984E+1	-9.8940E+1
7.3663E+2	-9.4992E+0	-4.2254E-1	1.4689E-1	-5.6666E+1	-9.1872E+1	-9.5352E+1	-8.7241E+1
7.9541E+2	-9.5053E+0	-3.7507E-1	1.4924E-1	-5.6524E+1	-9.4691E+1	-1.1274E+2	-9.2408E+1
8.5889E+2	-9.5105E+0	-3.2475E-1	1.4287E-1	-5.6911E+1	-8.5079E+1	-9.9966E+1	-8.9287E+1
9.2743E+2	-9.5151E+0	-2.7254E-1	1.4573E-1	-5.6737E+1	-9.4102E+1	-9.1507E+1	-8.5625E+1
