%	Date:	2016-12-19	Time:	16:31:46
%	Sampling frequency		[Hz]:	50000
%	Generator amplitude		[V]:	1.0000
%	Settle time		[s]:	0.025000
%	Settle cycles:			5
%	Integration time		[s]:	0.025000
%	Integration cycles:			5
% Freq.	Amplitude	Phase	THD	HD 2	HD 3	HD 4	HD 5
% [Hz]	[dB]	[deg]	[%]	[dB ref fund]	[dB ref fund]	[dB ref fund]	[dB ref fund]
1.0000E+1	6.0269E+0	3.7143E+1	2.1397E+0	-3.7382E+1	-3.9303E+1	-4.0881E+1	-4.1190E+1
1.0798E+1	6.1917E+0	3.4811E+1	2.1715E+0	-3.7385E+1	-3.9325E+1	-4.0096E+1	-4.1290E+1
1.1660E+1	6.3383E+0	3.2594E+1	2.1866E+0	-3.7251E+1	-3.9343E+1	-3.9946E+1	-4.1414E+1
1.2590E+1	6.4730E+0	3.0493E+1	2.2453E+0	-3.7407E+1	-3.8608E+1	-4.0215E+1	-4.0480E+1
1.3595E+1	6.5884E+0	2.8497E+1	2.2160E+0	-3.7137E+1	-3.9162E+1	-3.9897E+1	-4.1305E+1
1.4680E+1	6.6943E+0	2.6610E+1	2.2230E+0	-3.7146E+1	-3.9068E+1	-3.9929E+1	-4.1211E+1
1.5851E+1	6.7861E+0	2.4827E+1	2.2043E+0	-3.7338E+1	-3.8892E+1	-4.0271E+1	-4.1062E+1
1.7116E+1	6.8729E+0	2.3144E+1	2.2495E+0	-3.6915E+1	-3.9224E+1	-3.9593E+1	-4.1356E+1
1.8482E+1	6.9446E+0	2.1553E+1	2.2216E+0	-3.7164E+1	-3.8997E+1	-4.0025E+1	-4.1192E+1
1.9957E+1	7.0120E+0	2.0058E+1	2.2117E+0	-3.7173E+1	-3.9100E+1	-4.0005E+1	-4.1277E+1
2.1550E+1	7.0700E+0	1.8652E+1	2.2200E+0	-3.7155E+1	-3.8993E+1	-3.9997E+1	-4.1299E+1
2.3269E+1	7.1198E+0	1.7334E+1	2.1895E+0	-3.7397E+1	-3.8784E+1	-4.0241E+1	-4.1526E+1
2.5126E+1	7.1694E+0	1.6023E+1	2.2080E+0	-3.7161E+1	-3.9181E+1	-3.9973E+1	-4.1314E+1
2.7131E+1	7.2073E+0	1.4907E+1	2.1624E+0	-3.7498E+1	-3.8920E+1	-4.0337E+1	-4.1615E+1
2.9296E+1	7.2460E+0	1.3800E+1	2.1778E+0	-3.7282E+1	-3.9279E+1	-4.0130E+1	-4.1416E+1
3.1634E+1	7.2794E+0	1.2778E+1	2.1322E+0	-3.7471E+1	-3.9467E+1	-4.0317E+1	-4.1573E+1
3.4159E+1	7.3065E+0	1.1808E+1	2.1346E+0	-3.7450E+1	-3.9480E+1	-4.0295E+1	-4.1573E+1
3.6884E+1	7.3328E+0	1.0899E+1	2.0737E+0	-3.7733E+1	-3.9734E+1	-4.0518E+1	-4.1780E+1
3.9828E+1	7.3519E+0	1.0045E+1	2.0691E+0	-3.7860E+1	-3.9694E+1	-4.0459E+1	-4.1727E+1
4.3006E+1	7.3723E+0	9.2434E+0	1.9918E+0	-3.8337E+1	-3.9955E+1	-4.0701E+1	-4.1940E+1
4.6438E+1	7.3864E+0	8.4910E+0	1.9729E+0	-3.8556E+1	-3.9977E+1	-4.0695E+1	-4.1934E+1
5.0144E+1	7.4051E+0	7.7793E+0	1.8576E+0	-3.8928E+1	-4.0618E+1	-4.1331E+1	-4.2461E+1
5.4145E+1	7.4222E+0	7.1120E+0	1.8096E+0	-3.8434E+1	-4.1411E+1	-4.1996E+1	-4.3131E+1
5.8466E+1	7.4314E+0	6.4853E+0	1.6950E+0	-3.9514E+1	-4.1634E+1	-4.2220E+1	-4.3296E+1
6.3132E+1	7.4405E+0	5.8949E+0	1.6128E+0	-3.9901E+1	-4.2122E+1	-4.2667E+1	-4.3733E+1
6.8170E+1	7.4537E+0	5.3355E+0	1.4361E+0	-4.0596E+1	-4.3389E+1	-4.3892E+1	-4.4891E+1
7.3610E+1	7.4600E+0	4.8124E+0	1.3222E+0	-4.1367E+1	-4.4101E+1	-4.4558E+1	-4.5543E+1
7.9484E+1	7.4690E+0	4.3113E+0	1.1134E+0	-4.2740E+1	-4.5744E+1	-4.6111E+1	-4.7070E+1
8.5827E+1	7.4749E+0	3.8390E+0	9.4759E-1	-4.3909E+1	-4.7421E+1	-4.7682E+1	-4.8546E+1
9.2676E+1	7.4819E+0	3.3891E+0	7.0335E-1	-4.6029E+1	-5.0499E+1	-5.0646E+1	-5.1556E+1
1.0007E+2	7.4845E+0	2.9650E+0	5.0761E-1	-4.8170E+1	-5.4301E+1	-5.4230E+1	-5.5179E+1
1.0806E+2	7.4847E+0	2.5666E+0	3.4651E-1	-5.0436E+1	-6.0060E+1	-5.9286E+1	-6.0988E+1
1.1668E+2	7.4807E+0	2.1939E+0	2.3703E-1	-5.2777E+1	-6.9442E+1	-6.7882E+1	-7.1838E+1
1.2599E+2	7.4702E+0	1.8473E+0	2.1459E-1	-5.3425E+1	-7.7036E+1	-7.4516E+1	-8.2903E+1
